Locus ID,QTL,Expression cluster
LOC_Os08g43120,qCDP9,1
LOC_Os08g43210,qCDP9,2
LOC_Os08g43334,qCDP9,9
LOC_Os09g15520,qCDP10,4
LOC_Os12g28090,qCDP16,2
LOC_Os01g66030,qCDP1,1
LOC_Os03g03350,qCDP3,1
LOC_Os05g30400,qCDP6,2
LOC_Os09g34920,qCDP12,1
LOC_Os02g15150,qCDP2,1
LOC_Os02g15178,qCDP2,1
LOC_Os02g15090,qCDP2,1
LOC_Os02g15070,qCDP2,1
LOC_Os10g35050,qCDP13,1
LOC_Os03g29460,qCDP4,1
LOC_Os11g26860,qCDP14,1
LOC_Os11g26850,qCDP14,1
LOC_Os11g26790,qCDP14,1
LOC_Os03g03810,qCDP3,1
LOC_Os08g43190,qCDP9,5
LOC_Os09g15320,qCDP10,1
LOC_Os09g15330,qCDP10,1
LOC_Os10g35110,qCDP13,1
LOC_Os10g35010,qCDP13,1
LOC_Os03g03720,qCDP3,1
LOC_Os07g37030,qCDP8,4
LOC_Os07g37240,qCDP8,2
