t1,t2
"Shoot_weight, Shoot_K+, Lost_Chlorophyll_A",41.3
"Shoot_weight, Shoot_K+, Lost_Chlorophyll_B",39.9
"Shoot_weight, Shoot_K+, Seed_volume",48.4
"Shoot_weight, Shoot_K+, Seed_density",36.9
"Shoot_weight, Chlorophyll_A, Chlorophyll_B",72.6
"Shoot_weight, Chlorophyll_A, Stress_Root_weight",58.8
"Shoot_weight, Chlorophyll_A, Stress_Shoot_weight",61.7
"Shoot_weight, Chlorophyll_A, Stress_Root_length",52.5
"Shoot_weight, Chlorophyll_A, Stress_Shoot_length",59.6
"Shoot_weight, Chlorophyll_A, Stress_Root_Na+",49
"Shoot_weight, Chlorophyll_A, Stress_Root_K+",48.5
"Shoot_weight, Chlorophyll_A, Stress_Shoot_Na+",49
"Shoot_weight, Chlorophyll_A, Stress_Shoot_K+",48.6
"Shoot_weight, Chlorophyll_A, SES",53.7
"Shoot_weight, Chlorophyll_A, Stress_Chlorophyll_A",57.6
"Shoot_weight, Chlorophyll_A, Stress_Chlorophyll_B",57.8
"Shoot_weight, Chlorophyll_A, Width_WO_husk",48.6
"Shoot_weight, Chlorophyll_A, Length_WO_husk",51.9
"Shoot_weight, Chlorophyll_A, Height_WO_husk",52.4
"Shoot_weight, Chlorophyll_A, Seed_Weight",54.9
"Shoot_weight, Chlorophyll_A, Root_thickness",64.7
"Shoot_weight, Chlorophyll_A, Shoot_thickness",72.3
"Shoot_weight, Chlorophyll_A, Stress_Root_thickness",55.4
"Shoot_weight, Chlorophyll_A, Stress_Shoot_thickness",58.9
"Shoot_weight, Chlorophyll_A, Lost_Root_weight",58.3
"Shoot_weight, Chlorophyll_A, Lost_Shoot_weight",69.9
"Shoot_weight, Chlorophyll_A, Lost_Root_length",48.5
"Shoot_weight, Chlorophyll_A, Lost_Shoot_length",58.9
"Shoot_weight, Chlorophyll_A, Lost_Root_thickness",57.2
"Shoot_weight, Chlorophyll_A, Lost_Shoot_thickness",61
"Shoot_weight, Chlorophyll_A, Lost_Chlorophyll_A",48.6
"Shoot_weight, Chlorophyll_A, Lost_Chlorophyll_B",50.2
"Shoot_weight, Chlorophyll_A, Seed_volume",54.1
"Shoot_weight, Chlorophyll_A, Seed_density",47.5
"Shoot_weight, Chlorophyll_B, Stress_Root_weight",56.9
"Shoot_weight, Chlorophyll_B, Stress_Shoot_weight",60
"Shoot_weight, Chlorophyll_B, Stress_Root_length",51.5
"Shoot_weight, Chlorophyll_B, Stress_Shoot_length",57.8
"Shoot_weight, Chlorophyll_B, Stress_Root_Na+",47.8
"Shoot_weight, Chlorophyll_B, Stress_Root_K+",47.2
"Shoot_weight, Chlorophyll_B, Stress_Shoot_Na+",47.5
"Shoot_weight, Chlorophyll_B, Stress_Shoot_K+",47.2
"Shoot_weight, Chlorophyll_B, SES",52.1
"Shoot_weight, Chlorophyll_B, Stress_Chlorophyll_A",55.8
"Shoot_weight, Chlorophyll_B, Stress_Chlorophyll_B",55.8
"Shoot_weight, Chlorophyll_B, Width_WO_husk",47.7
"Shoot_weight, Chlorophyll_B, Length_WO_husk",49.6
"Shoot_weight, Chlorophyll_B, Height_WO_husk",52.7
"Shoot_weight, Chlorophyll_B, Seed_Weight",53.9
"Shoot_weight, Chlorophyll_B, Root_thickness",63.3
"Shoot_weight, Chlorophyll_B, Shoot_thickness",71.2
"Shoot_weight, Chlorophyll_B, Stress_Root_thickness",53.1
"Shoot_weight, Chlorophyll_B, Stress_Shoot_thickness",57.3
"Shoot_weight, Chlorophyll_B, Lost_Root_weight",56.8
"Shoot_weight, Chlorophyll_B, Lost_Shoot_weight",68.3
"Shoot_weight, Chlorophyll_B, Lost_Root_length",46.2
"Shoot_weight, Chlorophyll_B, Lost_Shoot_length",56.1
"Shoot_weight, Chlorophyll_B, Lost_Root_thickness",56.6
"Shoot_weight, Chlorophyll_B, Lost_Shoot_thickness",60.1
"Shoot_weight, Chlorophyll_B, Lost_Chlorophyll_A",47
"Shoot_weight, Chlorophyll_B, Lost_Chlorophyll_B",51.8
"Shoot_weight, Chlorophyll_B, Seed_volume",53.3
"Shoot_weight, Chlorophyll_B, Seed_density",46
"Shoot_weight, Stress_Root_weight, Stress_Shoot_weight",77.6
"Shoot_weight, Stress_Root_weight, Stress_Root_length",64.4
"Shoot_weight, Stress_Root_weight, Stress_Shoot_length",71.3
"Shoot_weight, Stress_Root_weight, Stress_Root_Na+",51.4
"Shoot_weight, Stress_Root_weight, Stress_Root_K+",50.7
"Shoot_weight, Stress_Root_weight, Stress_Shoot_Na+",51.6
"Shoot_weight, Stress_Root_weight, Stress_Shoot_K+",50
"Shoot_weight, Stress_Root_weight, SES",69
"Shoot_weight, Stress_Root_weight, Stress_Chlorophyll_A",69.7
"Shoot_weight, Stress_Root_weight, Stress_Chlorophyll_B",68.6
"Shoot_weight, Stress_Root_weight, Width_WO_husk",52
"Shoot_weight, Stress_Root_weight, Length_WO_husk",56.4
"Shoot_weight, Stress_Root_weight, Height_WO_husk",57.7
"Shoot_weight, Stress_Root_weight, Seed_Weight",61.5
"Shoot_weight, Stress_Root_weight, Root_thickness",69.2
"Shoot_weight, Stress_Root_weight, Shoot_thickness",74.9
"Shoot_weight, Stress_Root_weight, Stress_Root_thickness",72.4
"Shoot_weight, Stress_Root_weight, Stress_Shoot_thickness",75.1
"Shoot_weight, Stress_Root_weight, Lost_Root_weight",52.1
"Shoot_weight, Stress_Root_weight, Lost_Shoot_weight",65.1
"Shoot_weight, Stress_Root_weight, Lost_Root_length",51.8
"Shoot_weight, Stress_Root_weight, Lost_Shoot_length",53.3
"Shoot_weight, Stress_Root_weight, Lost_Root_thickness",53.8
"Shoot_weight, Stress_Root_weight, Lost_Shoot_thickness",54.6
"Shoot_weight, Stress_Root_weight, Lost_Chlorophyll_A",62
"Shoot_weight, Stress_Root_weight, Lost_Chlorophyll_B",59.2
"Shoot_weight, Stress_Root_weight, Seed_volume",59.8
"Shoot_weight, Stress_Root_weight, Seed_density",50.4
"Shoot_weight, Stress_Shoot_weight, Stress_Root_length",65
"Shoot_weight, Stress_Shoot_weight, Stress_Shoot_length",76.4
"Shoot_weight, Stress_Shoot_weight, Stress_Root_Na+",54.9
"Shoot_weight, Stress_Shoot_weight, Stress_Root_K+",54.3
"Shoot_weight, Stress_Shoot_weight, Stress_Shoot_Na+",56.2
"Shoot_weight, Stress_Shoot_weight, Stress_Shoot_K+",53.7
"Shoot_weight, Stress_Shoot_weight, SES",73.9
"Shoot_weight, Stress_Shoot_weight, Stress_Chlorophyll_A",74.8
"Shoot_weight, Stress_Shoot_weight, Stress_Chlorophyll_B",73
"Shoot_weight, Stress_Shoot_weight, Width_WO_husk",55.4
"Shoot_weight, Stress_Shoot_weight, Length_WO_husk",60.1
"Shoot_weight, Stress_Shoot_weight, Height_WO_husk",60.8
"Shoot_weight, Stress_Shoot_weight, Seed_Weight",64.8
"Shoot_weight, Stress_Shoot_weight, Root_thickness",72.7
"Shoot_weight, Stress_Shoot_weight, Shoot_thickness",78.4
"Shoot_weight, Stress_Shoot_weight, Stress_Root_thickness",71.4
"Shoot_weight, Stress_Shoot_weight, Stress_Shoot_thickness",80.4
"Shoot_weight, Stress_Shoot_weight, Lost_Root_weight",56.5
"Shoot_weight, Stress_Shoot_weight, Lost_Shoot_weight",67.1
"Shoot_weight, Stress_Shoot_weight, Lost_Root_length",55.6
"Shoot_weight, Stress_Shoot_weight, Lost_Shoot_length",55.7
"Shoot_weight, Stress_Shoot_weight, Lost_Root_thickness",59
"Shoot_weight, Stress_Shoot_weight, Lost_Shoot_thickness",56.7
"Shoot_weight, Stress_Shoot_weight, Lost_Chlorophyll_A",66.8
"Shoot_weight, Stress_Shoot_weight, Lost_Chlorophyll_B",63.1
"Shoot_weight, Stress_Shoot_weight, Seed_volume",63.4
"Shoot_weight, Stress_Shoot_weight, Seed_density",53.8
"Shoot_weight, Stress_Root_length, Stress_Shoot_length",64.5
"Shoot_weight, Stress_Root_length, Stress_Root_Na+",45.4
"Shoot_weight, Stress_Root_length, Stress_Root_K+",44.9
"Shoot_weight, Stress_Root_length, Stress_Shoot_Na+",44.4
"Shoot_weight, Stress_Root_length, Stress_Shoot_K+",44
"Shoot_weight, Stress_Root_length, SES",56.1
"Shoot_weight, Stress_Root_length, Stress_Chlorophyll_A",58.5
"Shoot_weight, Stress_Root_length, Stress_Chlorophyll_B",57.5
"Shoot_weight, Stress_Root_length, Width_WO_husk",46.1
"Shoot_weight, Stress_Root_length, Length_WO_husk",49.5
"Shoot_weight, Stress_Root_length, Height_WO_husk",52
"Shoot_weight, Stress_Root_length, Seed_Weight",53.7
"Shoot_weight, Stress_Root_length, Root_thickness",59
"Shoot_weight, Stress_Root_length, Shoot_thickness",68.4
"Shoot_weight, Stress_Root_length, Stress_Root_thickness",49.9
"Shoot_weight, Stress_Root_length, Stress_Shoot_thickness",61.2
"Shoot_weight, Stress_Root_length, Lost_Root_weight",50.5
"Shoot_weight, Stress_Root_length, Lost_Shoot_weight",62.4
"Shoot_weight, Stress_Root_length, Lost_Root_length",54.4
"Shoot_weight, Stress_Root_length, Lost_Shoot_length",47
"Shoot_weight, Stress_Root_length, Lost_Root_thickness",53.2
"Shoot_weight, Stress_Root_length, Lost_Shoot_thickness",53.3
"Shoot_weight, Stress_Root_length, Lost_Chlorophyll_A",51.8
"Shoot_weight, Stress_Root_length, Lost_Chlorophyll_B",48.9
"Shoot_weight, Stress_Root_length, Seed_volume",53
"Shoot_weight, Stress_Root_length, Seed_density",44.3
"Shoot_weight, Stress_Shoot_length, Stress_Root_Na+",51.9
"Shoot_weight, Stress_Shoot_length, Stress_Root_K+",51.2
"Shoot_weight, Stress_Shoot_length, Stress_Shoot_Na+",53.6
"Shoot_weight, Stress_Shoot_length, Stress_Shoot_K+",51
"Shoot_weight, Stress_Shoot_length, SES",66.4
"Shoot_weight, Stress_Shoot_length, Stress_Chlorophyll_A",68.3
"Shoot_weight, Stress_Shoot_length, Stress_Chlorophyll_B",67.4
"Shoot_weight, Stress_Shoot_length, Width_WO_husk",52.1
"Shoot_weight, Stress_Shoot_length, Length_WO_husk",57
"Shoot_weight, Stress_Shoot_length, Height_WO_husk",58
"Shoot_weight, Stress_Shoot_length, Seed_Weight",60.8
"Shoot_weight, Stress_Shoot_length, Root_thickness",69.2
"Shoot_weight, Stress_Shoot_length, Shoot_thickness",73.3
"Shoot_weight, Stress_Shoot_length, Stress_Root_thickness",63.6
"Shoot_weight, Stress_Shoot_length, Stress_Shoot_thickness",68.9
"Shoot_weight, Stress_Shoot_length, Lost_Root_weight",55.4
"Shoot_weight, Stress_Shoot_length, Lost_Shoot_weight",66.5
"Shoot_weight, Stress_Shoot_length, Lost_Root_length",54.4
"Shoot_weight, Stress_Shoot_length, Lost_Shoot_length",52.3
"Shoot_weight, Stress_Shoot_length, Lost_Root_thickness",58.5
"Shoot_weight, Stress_Shoot_length, Lost_Shoot_thickness",56.8
"Shoot_weight, Stress_Shoot_length, Lost_Chlorophyll_A",60.4
"Shoot_weight, Stress_Shoot_length, Lost_Chlorophyll_B",57.8
"Shoot_weight, Stress_Shoot_length, Seed_volume",59.7
"Shoot_weight, Stress_Shoot_length, Seed_density",50.9
"Shoot_weight, Stress_Root_Na+, Stress_Root_K+",64.8
"Shoot_weight, Stress_Root_Na+, Stress_Shoot_Na+",36.6
"Shoot_weight, Stress_Root_Na+, Stress_Shoot_K+",40.5
"Shoot_weight, Stress_Root_Na+, SES",47.3
"Shoot_weight, Stress_Root_Na+, Stress_Chlorophyll_A",48.8
"Shoot_weight, Stress_Root_Na+, Stress_Chlorophyll_B",48.2
"Shoot_weight, Stress_Root_Na+, Width_WO_husk",40.1
"Shoot_weight, Stress_Root_Na+, Length_WO_husk",43.3
"Shoot_weight, Stress_Root_Na+, Height_WO_husk",45.3
"Shoot_weight, Stress_Root_Na+, Seed_Weight",48
"Shoot_weight, Stress_Root_Na+, Root_thickness",54.8
"Shoot_weight, Stress_Root_Na+, Shoot_thickness",63.3
"Shoot_weight, Stress_Root_Na+, Stress_Root_thickness",47
"Shoot_weight, Stress_Root_Na+, Stress_Shoot_thickness",52.3
"Shoot_weight, Stress_Root_Na+, Lost_Root_weight",48.2
"Shoot_weight, Stress_Root_Na+, Lost_Shoot_weight",60
"Shoot_weight, Stress_Root_Na+, Lost_Root_length",37.1
"Shoot_weight, Stress_Root_Na+, Lost_Shoot_length",47.9
"Shoot_weight, Stress_Root_Na+, Lost_Root_thickness",47.5
"Shoot_weight, Stress_Root_Na+, Lost_Shoot_thickness",51
"Shoot_weight, Stress_Root_Na+, Lost_Chlorophyll_A",40
"Shoot_weight, Stress_Root_Na+, Lost_Chlorophyll_B",37.5
"Shoot_weight, Stress_Root_Na+, Seed_volume",46.7
"Shoot_weight, Stress_Root_Na+, Seed_density",36.6
"Shoot_weight, Stress_Root_K+, Stress_Shoot_Na+",39.5
"Shoot_weight, Stress_Root_K+, Stress_Shoot_K+",39.5
"Shoot_weight, Stress_Root_K+, SES",46.6
"Shoot_weight, Stress_Root_K+, Stress_Chlorophyll_A",48.8
"Shoot_weight, Stress_Root_K+, Stress_Chlorophyll_B",48.2
"Shoot_weight, Stress_Root_K+, Width_WO_husk",39.9
"Shoot_weight, Stress_Root_K+, Length_WO_husk",43.4
"Shoot_weight, Stress_Root_K+, Height_WO_husk",44.8
"Shoot_weight, Stress_Root_K+, Seed_Weight",47.5
"Shoot_weight, Stress_Root_K+, Root_thickness",54.8
"Shoot_weight, Stress_Root_K+, Shoot_thickness",63.1
"Shoot_weight, Stress_Root_K+, Stress_Root_thickness",46.1
"Shoot_weight, Stress_Root_K+, Stress_Shoot_thickness",51.9
"Shoot_weight, Stress_Root_K+, Lost_Root_weight",48.3
"Shoot_weight, Stress_Root_K+, Lost_Shoot_weight",59.8
"Shoot_weight, Stress_Root_K+, Lost_Root_length",36.3
"Shoot_weight, Stress_Root_K+, Lost_Shoot_length",47.1
"Shoot_weight, Stress_Root_K+, Lost_Root_thickness",48.1
"Shoot_weight, Stress_Root_K+, Lost_Shoot_thickness",51.2
"Shoot_weight, Stress_Root_K+, Lost_Chlorophyll_A",40.1
"Shoot_weight, Stress_Root_K+, Lost_Chlorophyll_B",37.8
"Shoot_weight, Stress_Root_K+, Seed_volume",46.2
"Shoot_weight, Stress_Root_K+, Seed_density",35
"Shoot_weight, Stress_Shoot_Na+, Stress_Shoot_K+",38.3
"Shoot_weight, Stress_Shoot_Na+, SES",49.3
"Shoot_weight, Stress_Shoot_Na+, Stress_Chlorophyll_A",52.9
"Shoot_weight, Stress_Shoot_Na+, Stress_Chlorophyll_B",51.8
"Shoot_weight, Stress_Shoot_Na+, Width_WO_husk",40.3
"Shoot_weight, Stress_Shoot_Na+, Length_WO_husk",44.7
"Shoot_weight, Stress_Shoot_Na+, Height_WO_husk",44.8
"Shoot_weight, Stress_Shoot_Na+, Seed_Weight",49.5
"Shoot_weight, Stress_Shoot_Na+, Root_thickness",56
"Shoot_weight, Stress_Shoot_Na+, Shoot_thickness",63.3
"Shoot_weight, Stress_Shoot_Na+, Stress_Root_thickness",48
"Shoot_weight, Stress_Shoot_Na+, Stress_Shoot_thickness",53.1
"Shoot_weight, Stress_Shoot_Na+, Lost_Root_weight",48.4
"Shoot_weight, Stress_Shoot_Na+, Lost_Shoot_weight",59.9
"Shoot_weight, Stress_Shoot_Na+, Lost_Root_length",36.5
"Shoot_weight, Stress_Shoot_Na+, Lost_Shoot_length",46.8
"Shoot_weight, Stress_Shoot_Na+, Lost_Root_thickness",48
"Shoot_weight, Stress_Shoot_Na+, Lost_Shoot_thickness",51
"Shoot_weight, Stress_Shoot_Na+, Lost_Chlorophyll_A",45.9
"Shoot_weight, Stress_Shoot_Na+, Lost_Chlorophyll_B",43.4
"Shoot_weight, Stress_Shoot_Na+, Seed_volume",47.8
"Shoot_weight, Stress_Shoot_Na+, Seed_density",37.6
"Shoot_weight, Stress_Shoot_K+, SES",45.8
"Shoot_weight, Stress_Shoot_K+, Stress_Chlorophyll_A",48.7
"Shoot_weight, Stress_Shoot_K+, Stress_Chlorophyll_B",48.1
"Shoot_weight, Stress_Shoot_K+, Width_WO_husk",37.8
"Shoot_weight, Stress_Shoot_K+, Length_WO_husk",43.3
"Shoot_weight, Stress_Shoot_K+, Height_WO_husk",43.2
"Shoot_weight, Stress_Shoot_K+, Seed_Weight",46.9
"Shoot_weight, Stress_Shoot_K+, Root_thickness",54.7
"Shoot_weight, Stress_Shoot_K+, Shoot_thickness",63.1
"Shoot_weight, Stress_Shoot_K+, Stress_Root_thickness",45.6
"Shoot_weight, Stress_Shoot_K+, Stress_Shoot_thickness",51
"Shoot_weight, Stress_Shoot_K+, Lost_Root_weight",48.3
"Shoot_weight, Stress_Shoot_K+, Lost_Shoot_weight",59.8
"Shoot_weight, Stress_Shoot_K+, Lost_Root_length",35.4
"Shoot_weight, Stress_Shoot_K+, Lost_Shoot_length",46.9
"Shoot_weight, Stress_Shoot_K+, Lost_Root_thickness",47.6
"Shoot_weight, Stress_Shoot_K+, Lost_Shoot_thickness",51
"Shoot_weight, Stress_Shoot_K+, Lost_Chlorophyll_A",40.1
"Shoot_weight, Stress_Shoot_K+, Lost_Chlorophyll_B",37.7
"Shoot_weight, Stress_Shoot_K+, Seed_volume",45.6
"Shoot_weight, Stress_Shoot_K+, Seed_density",34.2
"Shoot_weight, SES, Stress_Chlorophyll_A",69.5
"Shoot_weight, SES, Stress_Chlorophyll_B",67.4
"Shoot_weight, SES, Width_WO_husk",47.9
"Shoot_weight, SES, Length_WO_husk",52.8
"Shoot_weight, SES, Height_WO_husk",52.8
"Shoot_weight, SES, Seed_Weight",57.5
"Shoot_weight, SES, Root_thickness",64.9
"Shoot_weight, SES, Shoot_thickness",70.3
"Shoot_weight, SES, Stress_Root_thickness",64.5
"Shoot_weight, SES, Stress_Shoot_thickness",71.9
"Shoot_weight, SES, Lost_Root_weight",50
"Shoot_weight, SES, Lost_Shoot_weight",61.5
"Shoot_weight, SES, Lost_Root_length",47.4
"Shoot_weight, SES, Lost_Shoot_length",49.7
"Shoot_weight, SES, Lost_Root_thickness",51.7
"Shoot_weight, SES, Lost_Shoot_thickness",51.2
"Shoot_weight, SES, Lost_Chlorophyll_A",63.2
"Shoot_weight, SES, Lost_Chlorophyll_B",59.1
"Shoot_weight, SES, Seed_volume",55.7
"Shoot_weight, SES, Seed_density",46.2
"Shoot_weight, Stress_Chlorophyll_A, Stress_Chlorophyll_B",75.9
"Shoot_weight, Stress_Chlorophyll_A, Width_WO_husk",49.1
"Shoot_weight, Stress_Chlorophyll_A, Length_WO_husk",56
"Shoot_weight, Stress_Chlorophyll_A, Height_WO_husk",52.9
"Shoot_weight, Stress_Chlorophyll_A, Seed_Weight",58
"Shoot_weight, Stress_Chlorophyll_A, Root_thickness",67.7
"Shoot_weight, Stress_Chlorophyll_A, Shoot_thickness",72.5
"Shoot_weight, Stress_Chlorophyll_A, Stress_Root_thickness",64.3
"Shoot_weight, Stress_Chlorophyll_A, Stress_Shoot_thickness",72.6
"Shoot_weight, Stress_Chlorophyll_A, Lost_Root_weight",52.6
"Shoot_weight, Stress_Chlorophyll_A, Lost_Shoot_weight",63.6
"Shoot_weight, Stress_Chlorophyll_A, Lost_Root_length",50.3
"Shoot_weight, Stress_Chlorophyll_A, Lost_Shoot_length",51.9
"Shoot_weight, Stress_Chlorophyll_A, Lost_Root_thickness",55.4
"Shoot_weight, Stress_Chlorophyll_A, Lost_Shoot_thickness",52.9
"Shoot_weight, Stress_Chlorophyll_A, Lost_Chlorophyll_A",68.9
"Shoot_weight, Stress_Chlorophyll_A, Lost_Chlorophyll_B",65
"Shoot_weight, Stress_Chlorophyll_A, Seed_volume",56.2
"Shoot_weight, Stress_Chlorophyll_A, Seed_density",48.8
"Shoot_weight, Stress_Chlorophyll_B, Width_WO_husk",48.5
"Shoot_weight, Stress_Chlorophyll_B, Length_WO_husk",55.5
"Shoot_weight, Stress_Chlorophyll_B, Height_WO_husk",52
"Shoot_weight, Stress_Chlorophyll_B, Seed_Weight",57.2
"Shoot_weight, Stress_Chlorophyll_B, Root_thickness",66.7
"Shoot_weight, Stress_Chlorophyll_B, Shoot_thickness",71.9
"Shoot_weight, Stress_Chlorophyll_B, Stress_Root_thickness",63.5
"Shoot_weight, Stress_Chlorophyll_B, Stress_Shoot_thickness",70.6
"Shoot_weight, Stress_Chlorophyll_B, Lost_Root_weight",52
"Shoot_weight, Stress_Chlorophyll_B, Lost_Shoot_weight",63.5
"Shoot_weight, Stress_Chlorophyll_B, Lost_Root_length",49.3
"Shoot_weight, Stress_Chlorophyll_B, Lost_Shoot_length",51.5
"Shoot_weight, Stress_Chlorophyll_B, Lost_Root_thickness",54.4
"Shoot_weight, Stress_Chlorophyll_B, Lost_Shoot_thickness",53
"Shoot_weight, Stress_Chlorophyll_B, Lost_Chlorophyll_A",67.2
"Shoot_weight, Stress_Chlorophyll_B, Lost_Chlorophyll_B",65.2
"Shoot_weight, Stress_Chlorophyll_B, Seed_volume",55.5
"Shoot_weight, Stress_Chlorophyll_B, Seed_density",48.3
"Shoot_weight, Width_WO_husk, Length_WO_husk",44.9
"Shoot_weight, Width_WO_husk, Height_WO_husk",60.9
"Shoot_weight, Width_WO_husk, Seed_Weight",60
"Shoot_weight, Width_WO_husk, Root_thickness",55.1
"Shoot_weight, Width_WO_husk, Shoot_thickness",64.1
"Shoot_weight, Width_WO_husk, Stress_Root_thickness",47.2
"Shoot_weight, Width_WO_husk, Stress_Shoot_thickness",53.1
"Shoot_weight, Width_WO_husk, Lost_Root_weight",48.4
"Shoot_weight, Width_WO_husk, Lost_Shoot_weight",60.3
"Shoot_weight, Width_WO_husk, Lost_Root_length",40.9
"Shoot_weight, Width_WO_husk, Lost_Shoot_length",46.9
"Shoot_weight, Width_WO_husk, Lost_Root_thickness",48.3
"Shoot_weight, Width_WO_husk, Lost_Shoot_thickness",51.4
"Shoot_weight, Width_WO_husk, Lost_Chlorophyll_A",41.2
"Shoot_weight, Width_WO_husk, Lost_Chlorophyll_B",38.8
"Shoot_weight, Width_WO_husk, Seed_volume",62.2
"Shoot_weight, Width_WO_husk, Seed_density",45.9
"Shoot_weight, Length_WO_husk, Height_WO_husk",46
"Shoot_weight, Length_WO_husk, Seed_Weight",59.9
"Shoot_weight, Length_WO_husk, Root_thickness",64.4
"Shoot_weight, Length_WO_husk, Shoot_thickness",68.8
"Shoot_weight, Length_WO_husk, Stress_Root_thickness",52.7
"Shoot_weight, Length_WO_husk, Stress_Shoot_thickness",57.9
"Shoot_weight, Length_WO_husk, Lost_Root_weight",54.3
"Shoot_weight, Length_WO_husk, Lost_Shoot_weight",64.7
"Shoot_weight, Length_WO_husk, Lost_Root_length",44.4
"Shoot_weight, Length_WO_husk, Lost_Shoot_length",51
"Shoot_weight, Length_WO_husk, Lost_Root_thickness",57.1
"Shoot_weight, Length_WO_husk, Lost_Shoot_thickness",55.9
"Shoot_weight, Length_WO_husk, Lost_Chlorophyll_A",49.4
"Shoot_weight, Length_WO_husk, Lost_Chlorophyll_B",48.3
"Shoot_weight, Length_WO_husk, Seed_volume",57.7
"Shoot_weight, Length_WO_husk, Seed_density",44.1
"Shoot_weight, Height_WO_husk, Seed_Weight",64.1
"Shoot_weight, Height_WO_husk, Root_thickness",57.4
"Shoot_weight, Height_WO_husk, Shoot_thickness",67.3
"Shoot_weight, Height_WO_husk, Stress_Root_thickness",52.1
"Shoot_weight, Height_WO_husk, Stress_Shoot_thickness",58
"Shoot_weight, Height_WO_husk, Lost_Root_weight",50.3
"Shoot_weight, Height_WO_husk, Lost_Shoot_weight",62.5
"Shoot_weight, Height_WO_husk, Lost_Root_length",42.9
"Shoot_weight, Height_WO_husk, Lost_Shoot_length",49.5
"Shoot_weight, Height_WO_husk, Lost_Root_thickness",49
"Shoot_weight, Height_WO_husk, Lost_Shoot_thickness",53.3
"Shoot_weight, Height_WO_husk, Lost_Chlorophyll_A",45.6
"Shoot_weight, Height_WO_husk, Lost_Chlorophyll_B",43.1
"Shoot_weight, Height_WO_husk, Seed_volume",66.5
"Shoot_weight, Height_WO_husk, Seed_density",49.5
"Shoot_weight, Seed_Weight, Root_thickness",62.4
"Shoot_weight, Seed_Weight, Shoot_thickness",71.6
"Shoot_weight, Seed_Weight, Stress_Root_thickness",56.8
"Shoot_weight, Seed_Weight, Stress_Shoot_thickness",62.6
"Shoot_weight, Seed_Weight, Lost_Root_weight",54.3
"Shoot_weight, Seed_Weight, Lost_Shoot_weight",66.2
"Shoot_weight, Seed_Weight, Lost_Root_length",47.1
"Shoot_weight, Seed_Weight, Lost_Shoot_length",53.1
"Shoot_weight, Seed_Weight, Lost_Root_thickness",53.5
"Shoot_weight, Seed_Weight, Lost_Shoot_thickness",56.9
"Shoot_weight, Seed_Weight, Lost_Chlorophyll_A",51.2
"Shoot_weight, Seed_Weight, Lost_Chlorophyll_B",49.1
"Shoot_weight, Seed_Weight, Seed_volume",72.6
"Shoot_weight, Seed_Weight, Seed_density",46.8
"Shoot_weight, Root_thickness, Shoot_thickness",81.3
"Shoot_weight, Root_thickness, Stress_Root_thickness",67.2
"Shoot_weight, Root_thickness, Stress_Shoot_thickness",70.1
"Shoot_weight, Root_thickness, Lost_Root_weight",69.4
"Shoot_weight, Root_thickness, Lost_Shoot_weight",76.2
"Shoot_weight, Root_thickness, Lost_Root_length",55.8
"Shoot_weight, Root_thickness, Lost_Shoot_length",62.3
"Shoot_weight, Root_thickness, Lost_Root_thickness",74.7
"Shoot_weight, Root_thickness, Lost_Shoot_thickness",66.2
"Shoot_weight, Root_thickness, Lost_Chlorophyll_A",59.8
"Shoot_weight, Root_thickness, Lost_Chlorophyll_B",57.5
"Shoot_weight, Root_thickness, Seed_volume",61
"Shoot_weight, Root_thickness, Seed_density",55.3
"Shoot_weight, Shoot_thickness, Stress_Root_thickness",70.7
"Shoot_weight, Shoot_thickness, Stress_Shoot_thickness",76.9
"Shoot_weight, Shoot_thickness, Lost_Root_weight",73.3
"Shoot_weight, Shoot_thickness, Lost_Shoot_weight",87.9
"Shoot_weight, Shoot_thickness, Lost_Root_length",63.4
"Shoot_weight, Shoot_thickness, Lost_Shoot_length",68.3
"Shoot_weight, Shoot_thickness, Lost_Root_thickness",73.1
"Shoot_weight, Shoot_thickness, Lost_Shoot_thickness",80.5
"Shoot_weight, Shoot_thickness, Lost_Chlorophyll_A",65.4
"Shoot_weight, Shoot_thickness, Lost_Chlorophyll_B",64
"Shoot_weight, Shoot_thickness, Seed_volume",70.4
"Shoot_weight, Shoot_thickness, Seed_density",63.3
"Shoot_weight, Stress_Root_thickness, Stress_Shoot_thickness",70.2
"Shoot_weight, Stress_Root_thickness, Lost_Root_weight",49
"Shoot_weight, Stress_Root_thickness, Lost_Shoot_weight",62.5
"Shoot_weight, Stress_Root_thickness, Lost_Root_length",47.1
"Shoot_weight, Stress_Root_thickness, Lost_Shoot_length",51.8
"Shoot_weight, Stress_Root_thickness, Lost_Root_thickness",49.3
"Shoot_weight, Stress_Root_thickness, Lost_Shoot_thickness",51.9
"Shoot_weight, Stress_Root_thickness, Lost_Chlorophyll_A",56.8
"Shoot_weight, Stress_Root_thickness, Lost_Chlorophyll_B",54.7
"Shoot_weight, Stress_Root_thickness, Seed_volume",54.9
"Shoot_weight, Stress_Root_thickness, Seed_density",46.6
"Shoot_weight, Stress_Shoot_thickness, Lost_Root_weight",53.9
"Shoot_weight, Stress_Shoot_thickness, Lost_Shoot_weight",64.8
"Shoot_weight, Stress_Shoot_thickness, Lost_Root_length",52.3
"Shoot_weight, Stress_Shoot_thickness, Lost_Shoot_length",54
"Shoot_weight, Stress_Shoot_thickness, Lost_Root_thickness",55.9
