t1,t2
"Stress_Root_weight, Lost_Root_length",61.5
"Stress_Root_weight, Lost_Shoot_length",55.4
"Stress_Root_weight, Lost_Root_thickness",56.5
"Stress_Root_weight, Lost_Shoot_thickness",61.1
"Stress_Root_weight, Lost_Chlorophyll_A",76.7
"Stress_Root_weight, Lost_Chlorophyll_B",73.6
"Stress_Root_weight, Seed_volume",65.7
"Stress_Root_weight, Seed_density",52.9
"Stress_Shoot_weight, Stress_Root_length",73.5
"Stress_Shoot_weight, Stress_Shoot_length",88.8
"Stress_Shoot_weight, Stress_Root_Na+",56.5
"Stress_Shoot_weight, Stress_Root_K+",55.7
"Stress_Shoot_weight, Stress_Shoot_Na+",61.2
"Stress_Shoot_weight, Stress_Shoot_K+",51.9
"Stress_Shoot_weight, SES",89.5
"Stress_Shoot_weight, Stress_Chlorophyll_A",88.7
"Stress_Shoot_weight, Stress_Chlorophyll_B",86
"Stress_Shoot_weight, Width_WO_husk",57.5
"Stress_Shoot_weight, Length_WO_husk",62.1
"Stress_Shoot_weight, Height_WO_husk",66.1
"Stress_Shoot_weight, Seed_Weight",69.6
"Stress_Shoot_weight, Root_thickness",74.5
"Stress_Shoot_weight, Shoot_thickness",74.5
"Stress_Shoot_weight, Stress_Root_thickness",84.4
"Stress_Shoot_weight, Stress_Shoot_thickness",96.8
"Stress_Shoot_weight, Lost_Root_weight",57.3
"Stress_Shoot_weight, Lost_Shoot_weight",50.7
"Stress_Shoot_weight, Lost_Root_length",64.1
"Stress_Shoot_weight, Lost_Shoot_length",57.3
"Stress_Shoot_weight, Lost_Root_thickness",51.5
"Stress_Shoot_weight, Lost_Shoot_thickness",62.5
"Stress_Shoot_weight, Lost_Chlorophyll_A",82
"Stress_Shoot_weight, Lost_Chlorophyll_B",76.8
"Stress_Shoot_weight, Seed_volume",68
"Stress_Shoot_weight, Seed_density",51
"Stress_Root_length, Stress_Shoot_length",76.9
"Stress_Root_length, Stress_Root_Na+",54.3
"Stress_Root_length, Stress_Root_K+",54.4
"Stress_Root_length, Stress_Shoot_Na+",50.4
"Stress_Root_length, Stress_Shoot_K+",51.2
"Stress_Root_length, SES",65.4
"Stress_Root_length, Stress_Chlorophyll_A",67.4
"Stress_Root_length, Stress_Chlorophyll_B",66.2
"Stress_Root_length, Width_WO_husk",54.8
"Stress_Root_length, Length_WO_husk",53.2
"Stress_Root_length, Height_WO_husk",61.9
"Stress_Root_length, Seed_Weight",58.7
"Stress_Root_length, Root_thickness",54.5
"Stress_Root_length, Shoot_thickness",62.6
"Stress_Root_length, Stress_Root_thickness",51.1
"Stress_Root_length, Stress_Shoot_thickness",69
"Stress_Root_length, Lost_Root_weight",53.2
"Stress_Root_length, Lost_Shoot_weight",52.2
"Stress_Root_length, Lost_Root_length",78.1
"Stress_Root_length, Lost_Shoot_length",61
"Stress_Root_length, Lost_Root_thickness",55.7
"Stress_Root_length, Lost_Shoot_thickness",52.1
"Stress_Root_length, Lost_Chlorophyll_A",64.5
"Stress_Root_length, Lost_Chlorophyll_B",61.1
"Stress_Root_length, Seed_volume",59.2
"Stress_Root_length, Seed_density",52.9
"Stress_Shoot_length, Stress_Root_Na+",54.3
"Stress_Shoot_length, Stress_Root_K+",51.7
"Stress_Shoot_length, Stress_Shoot_Na+",60.7
"Stress_Shoot_length, Stress_Shoot_K+",50.2
"Stress_Shoot_length, SES",77.9
"Stress_Shoot_length, Stress_Chlorophyll_A",79
"Stress_Shoot_length, Stress_Chlorophyll_B",77.9
"Stress_Shoot_length, Width_WO_husk",54.7
"Stress_Shoot_length, Length_WO_husk",59.9
"Stress_Shoot_length, Height_WO_husk",64.5
"Stress_Shoot_length, Seed_Weight",64.9
"Stress_Shoot_length, Root_thickness",70.5
"Stress_Shoot_length, Shoot_thickness",65.8
"Stress_Shoot_length, Stress_Root_thickness",71.5
"Stress_Shoot_length, Stress_Shoot_thickness",76.3
"Stress_Shoot_length, Lost_Root_weight",53.2
"Stress_Shoot_length, Lost_Shoot_weight",53.9
"Stress_Shoot_length, Lost_Root_length",68.4
"Stress_Shoot_length, Lost_Shoot_length",61.1
"Stress_Shoot_length, Lost_Root_thickness",56.7
"Stress_Shoot_length, Lost_Shoot_thickness",54.8
