Serial no.,Accession No.,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight
106,IRGC 37550,275,538,173,808
106,IRGC 37550,299,559,197,811
106,IRGC 37550,300,550,202,809
106,IRGC 37550,315,556,198,811
107,IRGC 37562,227,525,146,503
107,IRGC 37562,223,518,143,498
107,IRGC 37562,223,533,149,502
107,IRGC 37562,217,515,143,498
107,IRGC 37562,221,529,149,498
108,IRGC 37596,238,621,176,664
108,IRGC 37596,251,619,161,663
108,IRGC 37596,246,610,170,664
108,IRGC 37596,240,589,164,660
108,IRGC 37596,253,600,168,665
109,IRGC 37685,280,593,187,824
109,IRGC 37685,261,602,191,826
109,IRGC 37685,278,595,200,828
109,IRGC 37685,260,605,189,828
109,IRGC 37685,272,590,201,824
110,IRGC 37754,279,504,185,751
110,IRGC 37754,268,506,186,754
110,IRGC 37754,274,529,196,754
110,IRGC 37754,281,509,205,753
110,IRGC 37754,279,512,186,756
111,IRGC 37793,203,413,143,353
111,IRGC 37793,203,429,150,352
111,IRGC 37793,213,417,150,353
111,IRGC 37793,204,419,147,355
111,IRGC 37793,191,421,149,351
112,IRGC 37815,264,620,181,911
112,IRGC 37815,275,606,170,907
112,IRGC 37815,290,637,197,907
112,IRGC 37815,280,641,195,908
112,IRGC 37815,284,635,196,908
113,IRGC 37837,253,626,174,613
113,IRGC 37837,256,610,177,616
113,IRGC 37837,231,596,170,613
113,IRGC 37837,250,600,178,616
113,IRGC 37837,241,609,178,617
114,IRGC 37845,229,690,170,791
114,IRGC 37845,222,671,170,788
114,IRGC 37845,217,684,175,789
114,IRGC 37845,234,633,181,793
114,IRGC 37845,234,676,172,792
115,IRGC 37951,237,687,185,760
115,IRGC 37951,229,656,181,760
115,IRGC 37951,229,648,170,759
115,IRGC 37951,236,660,174,757
115,IRGC 37951,221,664,184,758
116,IRGC 37967,236,630,184,784
116,IRGC 37967,244,658,174,788
116,IRGC 37967,246,700,185,789
116,IRGC 37967,248,602,176,790
116,IRGC 37967,229,630,184,791
117,IRGC 38130,278,405,206,640
117,IRGC 38130,272,428,202,640
117,IRGC 38130,261,428,204,640
117,IRGC 38130,286,449,195,643
117,IRGC 38130,290,492,208,646
118,IRGC 38145,220,835,178,892
118,IRGC 38145,220,730,182,895
118,IRGC 38145,222,817,181,895
118,IRGC 38145,219,821,176,897
118,IRGC 38145,222,759,189,898
119,IRGC 38149,243,783,185,981
119,IRGC 38149,237,795,192,982
119,IRGC 38149,238,783,183,983
119,IRGC 38149,258,755,168,985
119,IRGC 38149,235,797,186,986
120,IRGC 38251,200,684,172,598
120,IRGC 38251,199,633,162,598
120,IRGC 38251,199,640,172,595
120,IRGC 38251,208,554,160,593
120,IRGC 38251,201,588,157,595
121,IRGC 38293,242,593,168,748
121,IRGC 38293,241,663,171,754
121,IRGC 38293,241,624,173,751
121,IRGC 38293,232,675,162,750
121,IRGC 38293,247,618,170,748
122,IRGC 38320,231,639,175,700
122,IRGC 38320,243,652,171,700
122,IRGC 38320,242,643,180,704
122,IRGC 38320,241,614,164,704
122,IRGC 38320,242,633,180,703
123,IRGC 38344,251,621,180,732
123,IRGC 38344,234,630,187,730
123,IRGC 38344,228,624,180,728
123,IRGC 38344,224,602,170,731
123,IRGC 38344,225,598,185,731
124,IRGC 38361,226,630,171,749
124,IRGC 38361,232,646,175,745
124,IRGC 38361,240,654,174,746
124,IRGC 38361,231,637,164,750
124,IRGC 38361,236,647,167,745
125,IRGC 38390,246,669,157,859
125,IRGC 38390,244,664,174,859
125,IRGC 38390,242,728,172,859
125,IRGC 38390,245,751,191,860
125,IRGC 38390,249,698,178,858
126,IRGC 38416,255,550,188,773
126,IRGC 38416,253,608,196,774
126,IRGC 38416,277,560,186,772
126,IRGC 38416,254,546,190,770
126,IRGC 38416,261,670,197,778
127,IRGC 38426,240,580,170,717
127,IRGC 38426,219,600,159,718
127,IRGC 38426,232,622,174,715
127,IRGC 38426,230,584,136,718
127,IRGC 38426,237,630,180,718
