accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Height_WO_husk,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-8733,-0.067887981,-0.208015691,0.385694838,0.414656992,-0.305961373,0.204984201,0.222921204,0.362301388,0.162698672,-0.036271359,-0.297047634,0.156148307,-0.050639824,0.058600657,0.007248261,0.035587834,-0.133236183,-0.012421902,-0.133838095,-0.0043942,0.006584853,0.050740146,0.100383768,0.075540769,0.262412019,-0.003299004,0.028346677,0.11890335,0.36665383,0.135618735,0.258302487,0.162906323,0.011583442,0.038260539
IRIS_313-8737,0.109916013,-0.031087918,0.062943357,0.319397989,-0.043793192,0.116134834,-0.556381989,-0.379347851,0.496405435,0.039127443,-0.283996687,0.243729648,0.583218364,0.100373552,0.009994221,-0.208854559,-0.147493396,0.252908362,-0.208218972,-0.215079509,0.00553297,0.243511751,0.101491656,0.049480342,-0.312680226,-0.003816918,-0.009077509,0.110167222,0.471887903,0.20916381,-0.04041327,-0.473808934,0.022890719,0.03501873
IRIS_313-8789,-0.281845035,0.097769739,-0.440677647,-0.996685838,0.618811854,-0.194290052,-0.229141912,-0.171004686,-0.22921834,-0.099005708,0.033515974,-0.244349179,-0.065049518,0.01101344,-0.007809288,0.004867611,0.161264481,-0.028069602,0.120491493,-0.410033398,-0.008233409,-0.274444668,-0.085235069,-0.0540222,0.20252073,0.003422406,-0.044597867,-0.07833346,-0.518533695,-0.204471848,-0.030829358,0.103580262,-0.377766248,-0.056426279
IRIS_313-8822,-0.036192233,0.142032776,0.045106534,0.081854964,0.195095512,-0.039121923,-0.656963116,-0.478024094,-0.44280798,0.125062224,0.132410528,0.05327928,-0.61676219,0.145917025,-0.004219073,0.003904767,0.267340022,-0.247551668,0.39240835,-0.092453682,-0.004848724,-0.075641603,0.030560754,-0.012527793,0.063386642,-0.002901568,-0.110896327,-0.001537544,-0.458161597,0.185035714,0.013296773,0.023619805,-0.066756105,-0.001641571
IRIS_313-8850,0.04329895,-0.106471864,0.291809669,0.110208421,0.079687423,0.185510247,-0.74568292,-0.2372563,-0.210482082,-0.050233171,0.264999067,-0.305048863,-0.349395068,-0.167809543,0.004903984,-0.16067461,-0.028762631,-0.037800977,-0.040102952,-0.14719496,0.004992679,0.141050208,0.061638105,0.074698433,-0.971620978,-0.002208894,-0.087581034,0.079707117,-0.446987187,0.091841364,0.250053324,-0.164499279,-0.098682374,0.037231105
IRIS_313-8854,0.345179527,-0.068402067,0.506958777,0.351279402,-0.426487367,0.198172018,1.458498693,0.393241851,0.494570366,0.115439664,-0.280768291,0.521268316,0.586063202,0.491935453,0.007339164,0.249189622,-0.214772101,0.549801996,-0.276309781,0.433705235,0.007764703,0.251095005,0.117709432,0.074354782,0.551357061,-0.003257683,0.514964606,0.12046227,0.445728109,0.238674047,0.400659816,-0.362724613,0.258183902,0.042251813
IRIS_313-8864,-0.154053961,0.04960511,0.248615909,-0.152827697,0.330056553,-0.060426861,1.421488175,0.74678188,-0.366152582,-0.109580737,0.053637476,0.138255449,-0.290310044,0.25656649,-0.006613965,0.125809011,0.213109492,-0.015474433,0.212556062,0.391978331,-0.003516156,-0.259890497,-0.147471473,-0.0214742,-0.29020969,0.001834767,0.102358205,-0.125480103,-0.285903608,-0.174861481,0.253671318,0.526060125,-0.590153997,-0.039167527
IRIS_313-8930,0.274492235,0.074640183,0.016115156,0.086865136,-0.070028249,0.14595039,-0.029715514,-0.725192156,0.059498175,0.046437526,0.007923188,-0.133100559,0.012685135,-0.036642504,0.004315458,0.314249417,-0.072788801,-0.491761188,-0.070704616,-0.254521557,0.004753804,0.176767093,0.137626881,0.069226242,0.238365609,-0.003277756,-0.100709819,0.132312485,-0.23130643,0.081094532,0.044692824,-0.116483036,0.547119988,0.043602932
IRIS_313-8932,0.03572367,-0.135968192,-0.205663729,-0.276644984,-0.138545909,0.131042609,-1.977997892,-0.277883734,0.202041501,0.080456585,0.239669134,-0.418415932,0.25703438,-0.41011897,0.00103134,-0.375767245,-0.143470413,-0.065399772,-0.176795404,-0.245991065,0.006002767,0.214681739,0.099306539,0.072454517,-0.212627638,-0.002211967,-0.31518214,0.106744488,-0.210601273,0.12125425,-0.064835795,-0.217470872,0.440873036,0.036702459
IRIS_313-8963,-0.037580383,-0.151904858,-0.010535384,-0.148453571,0.028949557,-0.186237016,0.149082237,0.656944385,0.24492249,-0.101465402,-0.118488678,0.177486634,0.259017332,0.310997776,-0.004670097,0.15957415,0.002442483,0.068128156,-0.058029362,0.493862127,-0.003217122,-0.14916337,-0.203606049,-0.085256884,0.169366203,8.18E-04,0.152072807,-0.15065014,-0.187648712,-0.274744905,-0.041561475,0.366704415,-0.305634165,-0.046641506
