accession_name,Root_thickness,Stress_Root_Na+,Shoot_weight,Shoot_length,Stress_Shoot_Na+,Lost_Shoot_weight,Root_length,Stress_Chlorophyll_A,Root_Na+,SES,Stress_Shoot_weight,Stress_Chlorophyll_B,Stress_Shoot_thickness,Shoot_K+,Stress_Root_thickness,Lost_Chlorophyll_A,Stress_Root_length,Lost_Chlorophyll_B,Root_weight,Lost_Root_weight,Lost_Root_thickness,Chlorophyll_B,Lost_Shoot_thickness,Stress_Shoot_K+,Shoot_Na+,Stress_Root_weight,Chlorophyll_A,Stress_Shoot_length,Root_K+,Shoot_thickness,Lost_Root_length,Stress_Root_K+,Lost_Shoot_length
IRIS_313-11057,0.704716437,-0.621049035,-0.111592968,0.033166098,-1.291159869,-0.122265615,0.350426457,0.022534433,0.889507482,-0.755345617,-0.179400059,-0.27076906,0.166035803,-0.815600524,0.999134998,-0.789030077,-1.071705317,-0.499851027,0.766299211,0.916367677,0.065468862,-1.313283748,-0.445576128,-0.431468232,0.270837995,0.004194429,-1.28257772,-0.608597652,-0.437679794,-0.2001866,1.473210694,0.566460677,0.730030281
IRIS_313-11058,-0.023308624,-0.184646991,0.209295714,-0.507941206,-2.282190328,1.176028638,0.571720869,-1.183709498,0.939245325,0.599805782,-1.231182018,-1.081653213,-1.265898615,-2.255877234,-1.467766618,1.255600893,-0.972197854,1.000837206,0.228348282,1.655183606,0.824248364,-0.278259021,1.635186341,-0.311261057,1.219573232,-1.472383521,-0.118689016,-1.125542782,-0.885856797,0.592247142,1.52107976,-1.518998657,0.686099742
IRIS_313-11059,-0.442091194,-0.667055863,-0.452657944,-0.355169356,1.165684726,-1.251551246,1.787035779,0.864328864,1.480177519,-1.026375908,0.494546249,0.508211734,0.513109644,-0.579730348,0.0388998,-1.149800309,2.958823692,-0.71952902,0.531913621,-0.723939247,-0.450033372,-0.627056595,-1.023284051,-0.97672913,1.366304839,1.420995683,-0.66978664,0.439422454,-0.309127188,-0.481073211,-1.018463054,-0.341327585,-0.869711636
IRIS_313-11060,-2.489090922,1.035336582,-2.698253647,-2.681139166,0.706157702,-2.488518894,-2.166626967,0.093944666,-1.197971441,-0.48431533,-0.582283244,0.172609698,-0.050459378,-0.383178104,-1.801445958,-3.103971287,0.159226608,-2.702915533,-2.92585188,-1.605095861,-1.103278524,-2.411895888,-2.620739448,-0.507471437,-0.512489685,-1.258700252,-2.343148629,-1.260862974,1.195465989,-2.847570577,-2.214573976,-1.64423526,-3.424666282
IRIS_313-11061,-1.449378284,-0.659078313,-1.433209226,-1.514537734,1.09220935,-0.480448868,0.122697541,-1.733349266,0.092619919,1.683926841,-1.588429563,-1.727512275,-1.377178564,0.553930043,-1.771379251,1.4984312,-0.313194419,1.24277822,-1.01106291,0.136882981,-0.200009594,-0.888612353,0.213855998,0.958934749,-0.660991684,-1.409446476,-0.862498657,-1.806489589,0.229137067,-1.0634454,0.581061094,-1.190890903,-0.049430948
IRIS_313-11062,-2.360826329,0.866752452,-1.240124789,0.414977319,1.958055442,-0.38023482,0.350426457,-2.054026883,2.08395976,1.548411711,-1.375773484,-2.130617262,-1.984087261,-2.135508531,-2.554742958,2.15836362,0.566795523,1.991098704,-1.718614545,-0.100351492,-0.376922503,0.652253316,-0.265549841,-0.794393519,1.461961294,-1.951856414,0.517431448,-0.275333836,-1.606901206,-1.760922007,-0.417430039,-0.241871011,0.80359228
IRIS_313-11063,1.650645655,0.714221387,-0.265001101,-0.355169356,0.493504939,0.471158871,-1.63846018,-1.516384103,0.423820437,2.379983496,-1.011402542,-1.512535264,-1.386603335,3.199304295,-1.644957831,0.918526003,-0.052710346,0.634319942,0.080449964,1.228161555,2.876136593,-1.596027076,0.968058271,0.831864638,0.121451018,-1.214743808,-1.549826978,-0.022008665,-0.521020971,-0.165777204,-1.544775053,1.65458142,-0.437057488
IRIS_313-11064,-2.620170036,,-1.004355235,-0.477818107,,-0.067806709,-0.25571485,-1.999151526,,2.379983496,-1.431253128,-2.118345039,-2.211168497,,-2.266955637,2.13853315,-0.157457488,1.908671783,-2.175979716,-0.547707926,-0.848587733,0.433177579,0.523222268,,,-1.815230802,0.538419249,-0.124906463,,-1.218632889,-0.173949196,,-0.489194909
IRIS_313-11065,-0.644069282,-0.885515358,-2.0115969,-1.064813303,0.23940348,-2.245482399,-1.374374299,0.031738285,0.084806733,-0.077769907,0.144576887,-0.033344636,-0.155536653,1.562732628,-0.562752913,-1.865836657,0.990716403,-1.859563651,-1.337162545,-1.544092711,-0.249549392,-1.989713656,-2.234362545,-0.298323337,1.617186296,0.025032558,-1.976540939,0.92631074,0.093340401,-2.085838051,-2.214573976,0.658186923,-2.081918918
IRIS_313-11066,-0.81633863,0.425284529,-0.81343745,-0.879784985,0.599659415,-0.178003268,0.571720869,-1.442941604,-0.606494124,1.548411711,-1.044963642,-1.339468215,-0.959239088,0.298141424,-1.721974337,1.235467097,1.254735195,0.980519264,-0.359624922,0.306336176,0.297315024,-0.860450936,0.226401997,0.030661875,0.609449208,-0.830968693,-0.874198514,-1.08488617,-0.338112965,-0.641930598,-0.850974357,0.028456582,0.074239764
