uid,accession_name,Treatment,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
25_1,IRGC 26290,Control,274,641,174,794,105,1134,8,71.25,0.027533466,0.103864734,0.006204364,0.00449647,,0.018282392,0.01767096
25_2,IRGC 26290,Control,268,564,188,791,170,1672,5.5,66,0.026873133,0.192121888,0.004909516,0.005890004,,0.022502516,0.02329666
25_3,IRGC 26290,Control,274,585,176,792,104,1050,7.5,66,0.02097024,0.004347826,0.00287391,0.003525641,,0.016213232,0.01522272
25_4,IRGC 26290,Control,276,649,198,794,,,,,,,,,,,
25_5,IRGC 26290,Control,291,590,177,789,,,,,,,,,,,
26_1,IRGC 26335,Control,249,649,186,804,183,1086,8,62,0.024798789,0.136380528,0.004964849,0.007515793,,0.015074392,0.01448138
26_2,IRGC 26335,Control,263,645,189,799,113,1078,8,62,0.024798789,0.182831661,0.004772588,0.007980305,,0.016932626,0.0163115
26_3,IRGC 26335,Control,253,609,181,798,187,1194,8,59.5,0.024798789,0.173541434,0.008230329,0.058900037,,,
26_4,IRGC 26335,Control,262,611,181,802,,,,,,,,,,,
26_5,IRGC 26335,Control,252,651,176,799,,,,,,,,,,,
27_1,IRGC 26367,Control,277,581,179,864,162,1342,8.5,62,0.028947478,0.154960981,0.005394553,0.00983835,,0.018668154,0.01807092
27_2,IRGC 26367,Control,291,571,202,866,128,1530,8,56,0.029721208,0.066703828,0.007337522,0.005425492,,0.01793272,0.01681246
27_3,IRGC 26367,Control,290,629,192,865,99,1318,8.5,63,0.027533466,0.127090301,0.004514528,0.008444816,,,
27_4,IRGC 26367,Control,290,586,195,860,,,,,,,,,,,
27_5,IRGC 26367,Control,270,599,185,863,,,,,,,,,,,
28_1,IRGC 26373,Control,249,602,215,813,79,580,6,56.5,0.019090352,0.003883315,0.002361789,0.004347826,,0.017591068,0.01699426
28_2,IRGC 26373,Control,267,597,197,817,118,963,8,66.5,0.02615057,0.127090301,0.003744686,0.085284281,,0.016377642,0.01555602
28_3,IRGC 26373,Control,272,597,205,813,135,796,7.5,57,0.036359111,0.089929394,0.006902712,0.070512821,,0.0180049,0.02112516
28_4,IRGC 26373,Control,265,585,180,815,,,,,,,,,,,
28_5,IRGC 26373,Control,268,573,179,818,,,,,,,,,,,
29_1,IRGC 26384,Control,300,602,212,873,74,950,7,61,0.024767673,0.178186548,0.003655633,0.006819026,,0.017095432,0.01606708
29_2,IRGC 26384,Control,244,550,194,869,60,1141,9.5,65,0.023600114,0.145670754,0.004429449,0.004919175,,0.018429158,0.01739826
29_3,IRGC 26384,Control,290,607,207,873,43,457,7,47,0.063488771,0.219992568,0.003522855,0.009141583,,0.018342542,0.01779418
29_4,IRGC 26384,Control,273,595,183,866,,,,,,,,,,,
29_5,IRGC 26384,Control,297,552,194,867,,,,,,,,,,,
30_1,IRGC 26390,Control,275,602,181,810,63,816,7,55.2,0.025970793,0.182831661,0.005487584,0.065867707,,0.015631782,0.01510758
30_2,IRGC 26390,Control,266,544,172,808,112,1075,7,56.5,0.016488075,0.113154961,0.004556785,0.006122259,,0.022184924,0.02244422
30_3,IRGC 26390,Control,273,605,193,812,94,940,6.5,54.5,0.023157982,0.164251208,0.006477366,0.004728725,,0.017179642,0.01645694
30_4,IRGC 26390,Control,272,571,179,807,,,,,,,,,,,
30_5,IRGC 26390,Control,268,587,181,808,,,,,,,,,,,
31_1,IRGC 26399,Control,283,533,192,771,86,1073,5.5,62,0.016511782,0.159606094,0.001970318,0.009606094,,0.014649332,0.01383902
31_2,IRGC 26399,Control,302,520,186,767,95,1166,7.5,68.5,0.015589851,0.099219621,0.004137707,0.008677072,,0.020836762,0.02063834
31_3,IRGC 26399,Control,283,579,190,773,109,1149,8.5,61.5,0.015841078,0.233927908,0.002282494,0.003757897,,0.022332492,0.02284216
31_4,IRGC 26399,Control,276,541,185,769,,,,,,,,,,,
31_5,IRGC 26399,Control,302,540,186,770,,,,,,,,,,,
32_1,IRGC 26411,Control,247,637,169,693,209,1194,8.5,69,0.027533466,0.108509848,0.005517756,0.004960981,,,
32_2,IRGC 26411,Control,223,653,187,696,,,,,0.021121437,0.215347454,0.003465837,0.008909327,,0.021987632,0.02109486
32_3,IRGC 26411,Control,244,671,170,690,194,1592,8.5,67.75,0.017281176,0.002954292,0.003091913,0.010070606,,0.021253,0.02087064
32_4,IRGC 26411,Control,227,653,171,692,,,,,,,,,,,
32_5,IRGC 26411,Control,227,600,163,694,,,,,,,,,,,
33_1,IRGC 26439,Control,266,538,200,790,87,1012,9,53,0.024785454,0.201412114,0.005685562,0.002248235,,0.02083997,0.02069288
33_2,IRGC 26439,Control,280,528,188,791,101,888,11.5,52,0.024785454,0.187476774,0.005580839,0.247863248,,0.015894838,0.01530756
33_3,IRGC 26439,Control,256,530,186,789,65,637,8.5,52,0.071661688,0.043478261,0.01221295,0.002173913,,0.01709463,0.0148874
33_4,IRGC 26439,Control,254,582,226,787,,,,,,,,,,,
33_5,IRGC 26439,Control,265,560,190,787,,,,,,,,,,,
34_1,IRGC 26458,Control,281,598,199,788,,,,,,,,,,0.013375756,0.01282498
34_2,IRGC 26458,Control,257,663,188,789,123,1050,6.5,58.5,0.020199506,0.159606094,0.006466687,0.084448161,,0.016981548,0.0159176
34_3,IRGC 26458,Control,270,658,190,788,116,1310,8,53,0.011181937,0.00203,0.003278697,0.002132107,,,
34_4,IRGC 26458,Control,278,644,193,784,,,,,,,,,,,
34_5,IRGC 26458,Control,270,588,184,787,,,,,,,,,,,
35_1,IRGC 26478,Control,276,539,183,734,86,1066,9.5,60,0.015018254,0.182831661,0.006244797,0.007283538,,0.017795578,0.01689326
35_2,IRGC 26478,Control,267,570,194,736,122,1030,8,61,,,,,,0.014313294,0.01351582
35_3,IRGC 26478,Control,260,564,185,735,61,632,7,52,0.016526868,0.247863248,0.005295387,0.00821256,,0.019596068,0.01877388
35_4,IRGC 26478,Control,254,558,186,736,,,,,,,,,,,
35_5,IRGC 26478,Control,270,551,184,738,,,,,,,,,,,
36_1,IRGC 26504,Control,257,577,198,762,68,1130,8.5,62.5,0.031380684,0.113154961,0.00413486,0.001086957,,0.020925784,0.02221394
