accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B
IRIS_313-10982,102,1117.333333,7.833333333,65.33333333,0.029988233,0.166573765,0.004238409,0.001783724,0.020983795,0.021348707,81.33333333,436,8.5,49.41666667,0.068136488,0.015786307,0.096034818,0.031284685,7,0.016794415,0.017606993,13.0212766,17.10204081,9.568627451,8.822934232,20.66666667,681.333333,-0.666666667,15.91666666,3.452649146,8.27910658,0.00418938,0.003741714
IRIS_313-10983,88,645,7.25,56.16666667,0.042997013,0.131735414,0.004726119,0.006354515,0.016866595,0.01619838,71.66666667,382.3333333,10.58333333,44.16666667,0.070547469,0.017430235,0.108211639,0.034174763,6.666666667,0.015242812,0.014601233,12.13793103,11.48367952,6.771653546,8.656603772,16.33333333,262.6666667,-3.33333333,12,5.366277489,2.827075752,0.001623783,0.001597147
IRIS_313-10985,,,,,0.051671922,0.145670754,0.008052942,0.005657748,,,,,,,0.135864956,0.017300467,0.150496314,0.023402954,,,,,,,,,,,,,,,
IRIS_313-10986,110,1177,7,57.16666667,0.023903824,0.143001362,0.004391935,0.073978075,0.017722596,0.017976653,94.33333333,466.6666667,10.25,46.16666667,0.087715732,0.018180973,0.132905828,0.033411845,6,0.019157374,0.01739018,15.71428571,20.58892128,9.203252032,10.10830325,15.66666667,710.3333333,-3.25,11,6.511033682,10.48061803,-0.001434778,0.000586473
IRIS_313-10987,80,622.6666667,6.666666667,47.16666667,0.0206501,0.210702341,0.006072444,0.00716741,0.015540354,0.014603927,77,364,10.66666667,39.16666667,0.060423285,0.01141238,0.137504391,0.02233103,7,0.01322899,0.012696373,12,13.20141343,7.218749998,9.29361702,3,258.6666667,-4.000000003,8,4.781250002,3.907796407,0.002311364,0.001907554
IRIS_313-11013,58,541.6666667,6.333333333,42.33333333,0.019277575,0.136380528,0.005280244,0.080639168,0.016271511,0.015771487,96.33333333,555,8,44.16666667,0.049700666,0.006591838,0.147112512,0.028925986,5.333333333,0.014777652,0.014051793,9.157894737,12.79527559,12.04166667,12.56603773,-38.33333333,-13.3333333,-1.666666667,-1.83333334,-2.883771929,0.229237857,0.001493859,0.001719694
IRIS_313-11014,75,699.3333333,7.5,47.83333333,0.040210477,0.12554193,0.006381151,0.004637372,0.016487917,0.01580549,99,434.6666667,10.08333333,43.41666667,0.054747483,0.007750114,0.138664609,0.027870885,7,0.015017717,0.015288033,10,14.62020906,9.818181821,10.01151631,-24,264.6666666,-2.58333333,4.41666666,0.181818179,4.608692745,0.0014702,0.000517457
IRIS_313-11015,81.33333333,680.3333333,8,51.5,0.068837123,0.117800074,0.008882919,0.0050384,0.01773222,0.017360553,92.66666667,546,10.33333333,45.83333333,0.058211704,0.010482472,0.150507868,0.02709109,6,0.016632143,0.016151247,10.16666667,13.21035599,8.967741939,11.91272727,-11.33333334,134.3333333,-2.33333333,5.66666667,1.198924728,1.297628713,0.001100077,0.001209306
IRIS_313-11016,80,777,8.25,49.25,0.02610387,0.179734919,0.007912123,0.031843801,0.014864669,0.01416828,92.33333333,506.6666667,7.833333333,42.66666667,0.044673698,0.006368967,0.175870107,0.019783366,6.333333333,0.014720977,0.01641856,9.696969697,15.77664975,11.78723404,11.875,-12.33333333,270.3333333,0.416666667,6.58333333,-2.090264346,3.901649746,0.000143692,-0.00225028
IRIS_313-11017,112.3333333,1061.333333,9,59.66666667,0.017894679,0.127090301,0.003544056,0.13480119,0.014543201,0.01370772,56.5,275.5,7.75,37.5,0.06094839,0.010911888,0.096596495,0.038286352,8,0.007199153,0.00736088,12.48148148,17.78770949,7.290322581,7.346666667,55.8333333,785.833333,1.25,22.16666667,5.191158897,10.44104282,0.007344048,0.00634684
IRIS_313-11018,69.66666667,648.6666667,5.666666667,43,0.022561325,0.004347826,0.003573113,0.003316611,0.016184093,0.01744674,67,454.3333333,9.333333333,39.66666667,0.119938599,0.017094017,0.128235977,0.037997027,5.333333333,0.019112462,0.01893548,12.29411765,15.08527132,7.178571429,11.45378151,2.66666667,194.3333334,-3.666666666,3.33333333,5.115546218,3.631489808,-0.002928369,-0.00148874
