accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 29036,Control,77.0,804.0,8.0,54.0,,,,,,0.019078778,0.01832948,9.625,14.88888888888889
IRGC 29036,Control,57.0,799.0,8.0,56.0,,,,,,0.014777651999999999,0.01425312,7.125,14.267857142857142
IRGC 29072,Stress,43.0,213.0,7.5,31.0,,,,,7.0,0.00955182,0.00966368,5.733333333333333,6.870967741935484
IRGC 29089,Control,,,,,,,,,,0.022623617999999998,0.02310072,,
IRGC 29089,Stress,68.0,498.0,9.5,44.0,,,,,5.0,0.016452228,0.01542674,7.157894736842105,11.318181818181818
IRGC 29116,Control,,,,,,,,,,0.016021554,0.01525504,,
IRGC 29116,Stress,31.0,204.0,8.5,35.5,,,,,9.0,0.003932206,0.0044743000000000005,3.6470588235294117,5.746478873239437
IRGC 29146,Stress,,,,,,,,,6.0,0.015760904,0.01524898,,
IRGC 29146,Stress,,,,,,,,,,,,,
IRGC 29283,Control,174.0,880.0,4.5,58.0,,,,,,0.015222761999999999,0.0142107,38.666666666666664,15.172413793103448
IRGC 29283,Stress,43.0,239.0,10.0,42.5,,,,,9.0,,,4.3,5.623529411764705
IRGC 29294,Control,38.0,572.0,7.0,49.5,,,,,,0.018606400000000002,0.01820222,5.428571428571429,11.555555555555555
IRGC 29294,Stress,,,,,,,,,9.0,0.00355286,0.00366428,,
IRGC 29294,Stress,35.0,192.0,8.5,41.0,,,,,,,,4.117647058823529,4.682926829268292
IRGC 29294,Stress,,,,,,,,,,,,,
IRGC 29416,Control,123.0,1290.0,7.5,61.0,,,,,,0.024185112,0.03064744,16.4,21.147540983606557
IRGC 29416,Stress,114.0,628.0,13.5,49.25,,,,,7.0,0.016608618000000002,0.015574200000000002,8.444444444444445,12.751269035532994
IRGC 29432,Control,,,,,,,,,,0.024185914,0.02734878,,
IRGC 29432,Control,57.0,691.0,6.5,40.0,,,,,,,,8.76923076923077,17.275
IRGC 31611,Stress,112.0,726.0,10.5,46.5,,,,,6.0,0.019269654,0.01890922,10.666666666666666,15.612903225806452
IRGC 31618,Control,93.0,518.0,9.5,54.0,,,,,,0.014549883999999999,0.01381074,9.789473684210526,9.592592592592593
IRGC 31665,Control,145.0,987.0,7.5,58.0,,,,,,0.01184153,0.01121706,19.333333333333332,17.017241379310345
IRGC 31801,Stress,118.0,551.0,12.0,50.0,,,,,7.0,0.01889111,0.01884256,9.833333333333334,11.02
IRGC 31832,Control,105.0,615.0,6.5,59.2,,,,,,0.019910452,0.02000002,16.153846153846153,10.388513513513512
IRGC 31832,Stress,117.0,634.0,8.0,48.0,,,,,6.0,0.024507516,0.02880924,14.625,13.208333333333334
IRGC 31841,Stress,177.0,780.0,11.5,41.0,,,,,5.0,0.019874362,0.019169799999999997,15.391304347826088,19.024390243902438
IRGC 32816,Control,202.0,987.0,8.0,58.5,,,,,,0.015965414,0.014725799999999999,25.25,16.871794871794872
IRGC 34699,Control,98.0,795.0,5.5,53.0,,,,,,0.013018866,0.0125644,17.818181818181817,15.0
IRGC 37086,Control,94.0,751.0,5.0,54.0,,,,,,0.016048822,0.01536614,18.8,13.907407407407407
IRGC 37182,Control,106.0,860.0,7.0,55.5,,,,,,0.016788266,0.0162711,15.142857142857142,15.495495495495495
IRGC 37252,Stress,107.0,458.0,11.0,46.5,,,,,7.0,0.021791142000000003,0.02185236,9.727272727272727,9.849462365591398
IRGC 37272,Control,118.0,1105.0,7.5,69.5,,,,,,0.016075288,0.0154328,15.733333333333333,15.899280575539569
IRGC 37346,Control,35.0,396.0,3.5,50.0,,,,,,0.015861154,0.01503688,10.0,7.92
IRGC 37468,Control,148.0,1176.0,9.0,63.0,,,,,,0.017743448000000002,0.02047068,16.444444444444443,18.666666666666668
IRGC 37478,Stress,69.0,354.0,8.5,37.75,,,,,7.0,0.017152373999999998,0.0208565,8.117647058823529,9.37748344370861
IRGC 37550,Control,103.0,870.0,7.0,59.0,,,,,,0.016955883999999997,0.01608526,14.714285714285714,14.745762711864407
IRGC 37562,Control,94.0,978.0,6.0,47.0,,,,,,0.017813222,0.0173922,15.666666666666666,20.80851063829787
IRGC 37596,Control,49.0,315.0,5.5,39.5,,,,,,0.017075382,0.01652966,8.909090909090908,7.974683544303797
