,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed_Weight,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,Seed_volume,Seed_density
Lost_Chlorophyll_A,3.44E-03,5.41E-03,0.875163463,3.26E-02,0.552532516,0.389802272,0.331051073,0.533936361,2.71E-06,6.88E-06,5.73E-14,5.82E-21,0.000123232,7.02E-10,0.456630618,0.324241494,1.24E-03,0.732483848,1.08E-25,1.78E-50,9.63E-40,0.897401746,1.45E-02,0.465808912,0.028811987,1.21E-03,0.065126385,3.12E-09,1.61E-21,0.001531145,0.003527003,3.26E-05,0.000525761,0.539808362,2.10E-07,3.62E-17,9.22E-98,0.373760405,9.05213E-35
Lost_Chlorophyll_B,3.76E-02,6.05E-02,0.988910783,7.37E-02,0.302134192,0.527868639,0.189117233,0.330206989,1.31E-07,5.58E-12,8.71E-11,5.20E-14,0.003495304,1.24E-07,0.384620253,0.272935289,5.70E-03,0.718304817,4.20E-17,7.95E-33,4.53E-35,0.547652624,7.98E-03,0.570334668,0.125991491,3.32E-02,0.39055338,4.44E-08,8.59E-14,0.000628952,0.002367445,0.002180867,0.001965831,0.123246532,4.75E-07,5.49E-73,1.47E-21,0.373449467,4.88131E-35
Seed_volume,1.14E-04,1.02E-06,0.00084098,0.000547405,0.006081707,0.649928867,0.500076045,0.009927901,0.128059847,0.080241695,3.41E-05,1.76E-06,0.016762759,0.000186592,0.32255483,0.299707504,0.116663924,0.626493136,0.000790968,0.017605581,0.030101993,2.11E-32,1.43E-09,1.59E-39,5.40E-80,0.027066955,1.64E-05,0.00304427,6.94E-06,0.576273148,0.018049343,0.527109013,0.611340598,0.84907161,0.386478729,0.110718899,0.363696196,9.04E-133,3.92E-01
Seed_density,0.514093152,0.828156905,0.790054066,0.909398743,0.073216621,0.643481719,0.51107399,0.962044115,0.762106768,0.601065564,0.453638442,0.797082308,0.461689401,0.728636459,0.777943908,0.993185466,0.330714563,0.924761283,0.320302172,2.30E-01,2.26E-01,7.72E-07,3.16E-01,2.25E-08,0.854768978,3.40E-01,0.713735195,0.179419952,0.580350984,0.708201237,0.74436424,0.52811016,0.600923101,7.35E-01,0.832352705,0.220356257,0.181037345,8.16E-06,3.78E-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
