accession_name,Root_weight,Shoot_weight,Root_length,Shoot_length,Root_Na+,Root_K+,Shoot_Na+,Shoot_K+,Chlorophyll_A,Chlorophyll_B,Stress_Root_weight,Stress_Shoot_weight,Stress_Root_length,Stress_Shoot_length,Stress_Root_Na+,Stress_Root_K+,Stress_Shoot_Na+,Stress_Shoot_K+,SES,Stress_Chlorophyll_A,Stress_Chlorophyll_B,Root_thickness,Shoot_thickness,Stress_Root_thickness,Stress_Shoot_thickness,Lost_Root_weight,Lost_Shoot_weight,Lost_Root_length,Lost_Shoot_length,Lost_Root_thickness,Lost_Shoot_thickness,Lost_Chlorophyll_A,Lost_Chlorophyll_B,"pca$x[, 1]"
IRIS_313-11060,23.0,133.0,4.0,20.0,0.019094341,0.171218878,0.00475988,0.006006132,0.00698542,0.00664984,46.0,337.0,9.0,33.0,0.090897776,0.00780379,0.149406336,0.028050491,6.0,0.015760904,0.01524898,5.75,6.65,5.11111111111111,10.2121212121212,-23.0,-204.0,-5.0,-13.0,0.638888888888889,-3.56212121212121,-0.008775484,-0.00859914,-1.0420874418243753
IRIS_313-11061,62.5,478.0,7.5,39.5,0.027365674,0.125661183,0.004545846,0.031812833,0.015467372,0.0148975,42.66666667,177.0,8.25,28.25,0.055003319,0.008906231,0.161621888,0.037794343,8.666666667,0.004613104,0.004992767,8.33333333333333,12.1012658227848,5.17171717212121,6.26548672566371,19.83333333,301.0,-0.75,11.25,3.16161616121212,5.83577909712109,0.010854268,0.00990473299999999,-3.8978866854957515
IRIS_313-11062,47.0,520.5,7.75,56.25,0.11005089,0.029542921,0.013236732,0.002096494,0.018565498,0.01878095,33.0,199.0,9.625,40.0,0.084361286,0.012118585,0.186460417,0.02636986,8.5,0.003378024,0.00362691,6.06451612903225,9.25333333333333,3.42857142857142,4.975,14.0,321.5,-1.875,16.25,2.63594470046082,4.27833333333333,0.015187474,0.01515404,-3.2752912790971744
IRIS_313-11063,93.66666667,741.0,4.833333333,50.5,0.030456563,0.087606838,0.005834535,0.187476775,0.013084897,0.01223918,47.0,260.0,8.666666667,41.66666667,0.079582227,0.0226913789999999,0.142677519,0.03725483,9.0,0.00577520199999999,0.00586507,19.3793103468537,14.6732673267326,5.42307692286834,6.2399999995008,46.66666667,481.0,-3.833333334,8.83333333,13.9562334239854,8.43326732723187,0.007309695,0.00637411,-2.5170743183246183
IRIS_313-11064,38.0,572.0,7.0,49.5,,,,,0.0186064,0.01820222,35.0,192.0,8.5,41.0,,,,,9.0,0.00355286,0.00366428,5.42857142857142,11.5555555555555,4.11764705882352,4.68292682926829,3.0,380.0,-1.5,8.5,1.31092436974789,6.87262872628726,0.01505354,0.01453794,-3.3947254870975065
IRIS_313-11065,55.0,342.5,5.25,44.25,0.0272999539999999,0.119348445,0.018802357,0.091174285,0.010480536,0.00988992,76.5,467.5,10.25,47.25,0.05236337,0.016288864,0.134637171,0.029417029,6.5,0.015460555,0.01453491,10.4761904761904,7.74011299435028,7.46341463414634,9.89417989417989,-21.5,-125.0,-5.0,-3.0,3.01277584204413,-2.15406689982961,-0.004980019,-0.00464499,0.8869092224915468
IRIS_313-11066,80.0,614.0,8.0,46.0,0.022370378,0.09767125,0.00699364699999999,0.017056856,0.015434757,0.014978973,56.0,254.0,10.625,34.0,0.072353136,0.013331475,0.146036488,0.031856138,8.5,0.006222718,0.00666297,10.0,13.3478260869565,5.27058823529411,7.47058823529411,24.0,360.0,-2.625,12.0,4.72941176470588,5.8772378516624,0.009212039,0.008316003,-2.3438521702626054
IRIS_313-11067,67.5,550.5,5.5,56.5,0.033725385,0.120122631,0.005797645,0.004264214,0.014691437,0.01698618,80.33333333,567.333333299999,10.33333333,51.58333333,0.0559253159999999,0.012404665,0.152957618,0.028291464,5.666666667,0.012441693,0.01167156,12.2727272727272,9.7433628318584,7.77419355057232,10.9983844911792,-12.83333333,-16.8333332999999,-4.83333333,4.91666666999999,4.49853372215495,-1.2550216593208,0.00224974399999999,0.00531462,0.9856938337714896
IRIS_313-11068,64.33333333,510.3333333,6.666666667,52.5,0.030500701,0.119348445,0.005860153,0.028824476,0.012105923,0.01128372,46.66666667,281.0,7.0,41.0,0.066633477,0.01011396,0.152702637,0.028036721,7.666666667,0.013216559,0.01289265,9.6499999990175,9.72063492,6.66666666714285,6.85365853658536,17.66666666,229.3333333,-0.333333332999999,11.5,2.98333333187464,2.86697638341463,-0.00111063599999999,-0.00160892999999999,-1.5278992994590546
IRIS_313-11069,82.33333333,896.6666667,8.5,54.56666667,0.040734595,0.0852842809999999,0.007852454,0.005890004,0.020180726,0.0225943729999999,93.66666667,435.666666699999,11.66666667,45.91666667,0.072982354,0.016567571,0.184038153999999,0.028709994,7.666666667,0.01131221,0.01099688,9.68627450941176,16.4324984724231,8.02857142656326,9.48820326682481,-11.3333333399999,461.0,-3.16666666999999,8.64999999999999,1.65770308284849,6.94429520559837,0.008868516,0.0115974929999999,0.6140737048438549
