uid,Width_WO_husk,Length_WO_husk,Height_WO_husk,Seed Weight,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B,Serial no.,Iserial,accession_name
17_3,242.0,552.0,146.0,640.0,Control,65.0,566.0,7.0,41.0,0.017281176000000002,0.0034188029999999998,0.00528028,0.004728725,,0.015252436000000001,0.01437432,17,3.0,IRGC 8855
17_4,271.0,564.0,172.0,641.0,Control,,,,,,,,,,,,17,,IRGC 8855
17_5,233.0,554.0,163.0,645.0,Control,,,,,,,,,,,,17,,IRGC 8855
18_1,283.0,610.0,206.0,852.0,Control,147.0,860.0,10.5,54.5,0.01291798,0.004812337,0.002318206,0.008677072,,0.01854625,0.01751542,18,1.0,IRGC 25838
18_2,276.0,567.0,199.0,861.0,Control,128.0,1556.0,9.0,64.5,0.025647195,0.001560758,0.002835706,0.002364363,,0.016993578,0.01622262,18,2.0,IRGC 25838
18_3,234.0,591.0,172.0,858.0,Control,197.0,945.0,10.0,48.0,0.013003177,0.00574136,0.004701848,0.105351171,,0.019206296,0.01864864,18,3.0,IRGC 25838
18_4,289.0,560.0,173.0,859.0,Control,,,,,,,,,,,,18,,IRGC 25838
18_5,282.0,564.0,179.0,853.0,Control,,,,,,,,,,,,18,,IRGC 25838
19_1,300.0,623.0,204.0,827.0,Control,24.0,465.0,8.5,38.0,0.057832725,0.136380528,0.006890431,0.113154961,,0.017992068,0.01750128,19,1.0,IRGC 25845
19_2,268.0,593.0,188.0,827.0,Control,,,,,0.023761616,0.19676700100000002,0.004162995,0.079803047,,0.011617772,0.01123726,19,2.0,IRGC 25845
19_3,300.0,606.0,193.0,836.0,Control,99.0,773.0,8.5,47.5,0.018452092,0.0029542920000000003,0.002490106,0.0021321070000000003,,,,19,3.0,IRGC 25845
19_4,284.0,572.0,200.0,834.0,Control,,,,,,,,,,,,19,,IRGC 25845
19_5,301.0,574.0,182.0,833.0,Control,,,,,,,,,,,,19,,IRGC 25845
20_1,255.0,528.0,173.0,635.0,Control,131.0,1053.0,11.5,57.0,0.041237969,0.034188034,0.011800057,0.001012635,,0.022146428,0.02202204,20,1.0,IRGC 25855
20_2,257.0,531.0,184.0,633.0,Control,44.0,317.0,6.0,45.5,0.024767672999999997,0.103864734,0.005220798,0.00287068,,0.017703348,0.01752552,20,2.0,IRGC 25855
20_3,249.0,543.0,178.0,634.0,Control,129.0,1145.0,8.5,48.0,0.023083306,0.117800074,0.004997442,0.005425492,,0.015833084,0.01509748,20,3.0,IRGC 25855
20_4,257.0,503.0,197.0,630.0,Control,,,,,,,,,,,,20,,IRGC 25855
20_5,259.0,522.0,178.0,629.0,Control,,,,,,,,,,,,20,,IRGC 25855
21_1,280.0,595.0,194.0,953.0,Control,97.0,940.0,8.5,60.0,0.025647195,0.173541434,0.005030285,0.077480491,,0.014212242,0.01375216,21,1.0,IRGC 25877
21_2,281.0,588.0,191.0,952.0,Control,18.0,133.0,2.5,32.5,0.023157982,0.178186548,0.0040816279999999995,0.008444815999999999,,0.007627821999999999,0.0073932,21,2.0,IRGC 25877
21_3,292.0,581.0,191.0,952.0,Control,120.0,1264.0,7.5,63.5,,,,,,0.01640491,0.01554188,21,3.0,IRGC 25877
21_4,294.0,580.0,185.0,956.0,Control,,,,,,,,,,,,21,,IRGC 25877
21_5,266.0,616.0,199.0,948.0,Control,,,,,,,,,,,,21,,IRGC 25877
22_1,285.0,643.0,184.0,856.0,Control,199.0,1040.0,8.5,58.0,0.026402257000000002,0.062058714,0.008501449,0.005193237,,0.018704244,0.01858198,22,1.0,IRGC 25880
22_2,276.0,630.0,196.0,858.0,Control,93.0,1203.0,7.8,54.5,0.029721208,0.075994054,0.0038151979999999997,0.034188034,,0.018405098,0.01780832,22,2.0,IRGC 25880
22_3,258.0,609.0,175.0,851.0,Control,76.0,1260.0,8.5,57.0,0.022724444,0.23857302100000002,0.00600177,0.007980305,,0.019567998,0.018786,22,3.0,IRGC 25880
22_4,268.0,582.0,194.0,858.0,Control,,,,,,,,,,,,22,,IRGC 25880
22_5,283.0,592.0,172.0,856.0,Control,,,,,,,,,,,,22,,IRGC 25880
23_1,266.0,582.0,183.0,834.0,Control,148.0,714.0,9.0,57.5,,,,,,0.01550667,0.01466318,23,1.0,IRGC 25919
23_2,242.0,517.0,152.0,834.0,Control,121.0,792.0,8.0,55.0,,,,,,0.018652113999999997,0.01795174,23,2.0,IRGC 25919
23_3,289.0,547.0,188.0,828.0,Control,27.0,151.0,5.5,25.5,0.019298318000000002,0.178186548,0.002760496,0.08528428099999999,,0.009990514,0.00935866,23,3.0,IRGC 25919
23_4,274.0,567.0,188.0,831.0,Control,,,,,,,,,,,,23,,IRGC 25919
23_5,587.0,554.0,198.0,833.0,Control,,,,,,,,,,,,23,,IRGC 25919
24_1,243.0,589.0,178.0,656.0,Control,50.0,556.0,6.5,48.5,,,,,,8.02e-07,1.21e-05,24,1.0,IRGC 25927
24_2,229.0,523.0,146.0,649.0,Control,,,,,,,,,,0.015681506,0.015422700000000001,24,2.0,IRGC 25927
24_3,237.0,587.0,167.0,650.0,Control,93.0,1016.0,9.0,48.5,0.028061732000000002,0.154960981,0.004726119,0.0040319579999999995,,0.020690798,0.02058582,24,3.0,IRGC 25927
24_4,241.0,569.0,170.0,656.0,Control,,,,,,,,,,,,24,,IRGC 25927
24_5,230.0,590.0,186.0,655.0,Control,,,,,,,,,,,,24,,IRGC 25927
25_1,274.0,641.0,174.0,794.0,Control,105.0,1134.0,8.0,71.25,0.027533466,0.103864734,0.006204364,0.00449647,,0.018282391999999998,0.01767096,25,1.0,IRGC 26290
25_2,268.0,564.0,188.0,791.0,Control,170.0,1672.0,5.5,66.0,0.026873132999999997,0.19212188800000002,0.004909516,0.005890004,,0.022502516,0.02329666,25,2.0,IRGC 26290
25_3,274.0,585.0,176.0,792.0,Control,104.0,1050.0,7.5,66.0,0.02097024,0.004347826,0.00287391,0.003525641,,0.016213232,0.01522272,25,3.0,IRGC 26290
25_4,276.0,649.0,198.0,794.0,Control,,,,,,,,,,,,25,,IRGC 26290
25_5,291.0,590.0,177.0,789.0,Control,,,,,,,,,,,,25,,IRGC 26290
26_1,249.0,649.0,186.0,804.0,Control,183.0,1086.0,8.0,62.0,0.024798788999999998,0.136380528,0.004964849,0.007515793000000001,,0.015074391999999999,0.01448138,26,1.0,IRGC 26335
