accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,Chlorophyll A,Chlorophyll B,Root thickness,Shoot thickness
IRGC 77253,Control,71,973,4.5,63.5,0.022043368,0.127090301,0.004570988,0.007283538,0.017429866,0.01677812,15.77777778,15.32283465
IRGC 77279,Control,78,793,5,58.5,0.022001881,0.103864734,0.004503768,0.007515793,0.014589182,0.01383902,15.6,13.55555556
IRGC 8742,Control,145,1289,8.5,54,0.022001881,0.085284281,0.005852513,0.000970829,0.018961686,0.01866682,17.05882353,23.87037037
IRGC 31727,Control,130,911,8,56.5,0.022001881,0.048123374,0.007544063,0.079803047,0.02276076,0.02364006,16.25,16.12389381
IRGC 31727,Control,94,1026,8.5,57,0.022001881,0.048123374,0.007544063,0.079803047,0.014609232,0.0138774,11.05882353,18
IRGC 31832,Control,51,578,7.5,59,0.021875445,0.004812337,0.005955188,0.010767373,0.019062738,0.01847694,6.8,9.796610169
IRGC 8667,Control,56,367,7.5,42,0.021807018,0.003418803,0.003724486,0.002828874,0.016911774,0.01654582,7.466666667,8.738095238
IRGC 31745,Control,149,1346,7.5,56.5,0.021687272,0.136380528,0.004684743,0.004728725,0.020228044,0.01954956,19.86666667,23.82300885
IRGC 26458,Stress,105,602,7.5,43,0.021573183,0.011519881,0.116980265,0.049624103,0.009879838,0.00948188,14,14
IRGC 27540,Control,118,1240,10,55,0.021498506,0.187476774,0.00508178,0.006586771,,,11.8,22.54545455
IRGC 6586,Control,77,1103,8.5,73,0.021498506,0.159606094,0.067423879,0.159606094,0.017870966,0.01723464,9.058823529,15.10958904
IRGC 77226,Control,121,920,9.5,55.5,0.021498506,0.154960981,0.003802217,0.009141583,0.017107462,0.01643068,12.73684211,16.57657658
IRGC 8341,Control,113,839,9,47.5,0.021498506,0.131735414,0.003410292,0.010999628,0.02232367,0.0227856,12.55555556,17.66315789
IRGC 29230,Control,80,703,9.5,43.5,0.021498506,0.00203,0.003513314,0.085284281,,,8.421052632,16.16091954
IRGC 77216,Control,111,1484,8,58.25,0.02142383,0.154960981,0.007630396,0.003335191,0.023108828,0.02441372,13.875,25.47639485
IRGC 37815,Control,108,817,6.5,59,0.021372663,0.004812337,0.006788915,0.01146414,0.017635178,0.0169276,16.61538462,13.84745763
IRGC 49242,Control,146,838,8,60.5,0.021372663,0.002489781,0.069734853,0.178186548,0.02457729,0.04406024,18.25,13.85123967
IRGC 53500,Control,93,565,10,45,0.021372663,0.000548123,0.006132377,0.007980305,0.01824951,0.01783458,9.3,12.55555556
IRGC 8806,Control,89,647,8,47.5,0.021229434,0.206057228,0.004186073,0.009373839,0.018204598,0.01746896,11.125,13.62105263
IRGC 8855,Control,68,648,6.5,45.5,0.021229434,0.164251208,0.005295387,0.004960981,0.019309754,0.01892538,10.46153846,14.24175824
IRGC 37815,Control,108,1335,9,63.5,0.021229434,0.150315868,0.008537565,0.196767001,0.01749964,0.01669934,12,21.02362205
IRGC 29297,Control,86,543,8,53,0.021229434,0.071348941,0.023866276,0.024061687,0.00652828,0.0062519,10.75,10.24528302
IRGC 37596,Control,75,732,5.5,53,0.021121437,0.224637681,0.004734386,0.082125604,0.01869061,0.01790528,13.63636364,13.81132075
IRGC 26411,Control,,,,,0.021121437,0.215347454,0.003465837,0.008909327,0.021987632,0.02109486,,
IRGC 37793,Control,,,,,0.021121437,0.173541434,0.003622324,0.002248235,,,,
IRGC 83865,Control,52,505,9.5,49,0.021121437,0.048123374,0.006621308,0.000970829,0.017199692,0.01605092,5.473684211,10.30612245
IRGC 8840,Control,117,862,6.5,50.5,0.021121437,0.003418803,0.007052771,0.065867707,0.020822326,0.02071712,18,17.06930693
IRGC 117318,Control,132,1188,5,48,0.021121437,0.002954292,0.006394638,0.009141583,0.02564395,0.03843252,26.4,24.75
IRGC 29036,Control,133,1002,9,50.5,0.021052711,0.029542921,0.004088251,0.196767001,0.021106234,0.02056158,14.77777778,19.84158416
IRGC 37478,Control,82,816,7,55.5,0.021052711,0.002954292,0.004474978,0.010535117,0.021460718,0.0216544,11.71428571,14.7027027
IRGC 26290,Control,104,1050,7.5,66,0.02097024,0.004347826,0.00287391,0.003525641,0.016213232,0.01522272,13.86666667,15.90909091
IRGC 8794,Control,104,1050,13.25,50.5,0.020668769,0.247863248,0.004073374,0.006586771,0.021286684,0.0209777,7.849056604,20.79207921
IRGC 53479,Control,61,526,7.5,42,0.020668769,0.201412114,0.005170304,0.005890004,0.014142468,0.01354814,8.133333333,12.52380952
IRGC 58824,Control,96,1014,5.75,60.5,0.020668769,0.094574508,0.00851311,0.00449647,0.016740146,0.0161297,16.69565217,16.76033058
IRGC 63517,Control,,,,,0.020668769,0.002954292,0.002904082,0.154960981,0.009013678,0.00878902,,
IRGC 37845,Control,68,816,5.5,59,0.0206501,0.141025641,0.005091718,0.007980305,0.021334002,0.0214221,12.36363636,13.83050847
IRGC 43862,Control,56,467,4.5,43.5,0.020618984,0.150315868,0.114503817,0.080639168,0.014485724,0.01369358,12.44444444,10.73563218
IRGC 8497,Control,105,864,6.5,59,0.020455477,0.001012635,0.00419287,0.01146414,0.015971028,0.01552572,16.15384615,14.6440678
IRGC 26772,Control,134,994,9,58.5,0.020417082,0.002954292,0.004351868,0.009606094,0.020624232,0.02044442,14.88888889,16.99145299
IRGC 38535,Control,115,1595,8.5,61.5,0.020298404,0.002489781,0.003828203,0.010302861,0.020271352,0.01958592,13.52941176,25.93495935
IRGC 29004,Control,109,996,9,58,0.020199506,0.247863248,0.003843464,0.002712746,0.017209316,0.01644886,12.11111111,17.17241379
IRGC 37272,Control,123,1036,6,65.5,0.020199506,0.168896321,0.003660454,0.012393162,0.020852802,0.02091508,20.5,15.81679389
IRGC 26458,Control,123,1050,6.5,58.5,0.020199506,0.159606094,0.006466687,0.084448161,0.016981548,0.0159176,18.92307692,17.94871795
IRGC 8341,Control,72,775,7,53.75,0.020199506,0.002025269,0.004702872,0.010999628,0.018120388,0.01766894,10.28571429,14.41860465
IRGC 37149,Control,122,1215,8.5,56.75,0.020044095,0.210702341,0.00530384,0.024786325,0.022110338,0.02296134,14.35294118,21.40969163
IRGC 49257,Control,179,1482,8.5,69,0.019989767,0.238573021,0.006950536,0.007980305,0.017337636,0.01664682,21.05882353,21.47826087
IRGC 37086,Control,126,1406,8,63,0.019839031,0.243218135,0.003312458,0.004222408,0.01792069,0.01706294,15.75,22.31746032
IRGC 26744,Control,60,598,6.5,51.5,0.019839031,0.196767001,0.005388028,0.007515793,0.02051115,0.0205232,9.230769231,11.61165049
IRGC 49182,Control,127,978,8,57,0.019839031,0.002489781,0.000932175,0.086770717,0.017060144,0.016362,15.875,17.15789474
IRGC 29009,Control,108,713,8,53,0.019764354,0.062058714,0.00762267,0.003567447,0.01899136,0.01833352,13.5,13.45283019
IRGC 29004,Control,121,1092,10.5,54,0.019728612,0.00574136,0.003293078,0.003177258,0.019353864,0.01822848,11.52380952,20.22222222
IRGC 77299,Control,25,1050,3,31,0.019612927,0.224637681,0.004891682,0.007748049,0.009096284,0.00872236,8.333333333,33.87096774
IRGC 29146,Control,,,,,0.019612927,0.196767001,0.005516943,0.006354515,0.00698542,0.00664984,,
IRGC 29068,Control,,,,,0.019612927,0.182831661,0.003420523,0.006819026,,,,
IRGC 117317,Control,29,232,2,36,0.019612927,0.122445188,0.004579856,0.006586771,0.014795296,0.01390972,14.5,6.444444444
IRGC 38390,Control,138,1342,6.5,58,0.019544097,0.219992568,0.003148204,0.003409513,0.020260124,0.01990912,21.23076923,23.13793103
IRGC 8593,Control,118,1105,9,53,0.019544097,0.187476774,0.003643379,0.002828874,0.027932056,0.04816286,13.11111111,20.8490566
IRGC 77285,Control,62,508,9.25,44,0.019544097,0.002954292,0.005913364,0.00821256,0.015794588,0.01557016,6.702702703,11.54545455
IRGC 49375,Control,88,673,5.5,38.5,0.019544097,0.002954292,0.004657941,0.010302861,0.01581143,0.01520858,16,17.48051948
IRGC 8794,Control,92,691,8.5,54,0.019544097,0.000780379,0.006330411,0.00821256,0.0183257,0.01794972,10.82352941,12.7962963
IRGC 6586,Control,96,967,8,57,0.019298318,0.210702341,0.002995749,0.010070606,0.024550022,0.02772854,12,16.96491228
IRGC 25919,Control,27,151,5.5,25.5,0.019298318,0.178186548,0.002760496,0.085284281,0.009990514,0.00935866,4.909090909,5.921568627
IRGC 86973,Control,58,672,5.5,50,0.019298318,0.004347826,0.00616301,0.007515793,0.013963622,0.01334412,10.54545455,13.44
IRGC 27536,Control,27,403,5.5,42,0.019277575,0.136380528,0.005280244,0.080639168,0.013940364,0.01335624,4.909090909,9.595238095
IRGC 31745,Control,113,1060,9,61,0.019236088,0.136380528,0.003020246,0.141025641,0.017251822,0.0167155,12.55555556,17.37704918
IRGC 26373,Control,79,580,6,56.5,0.019090352,0.003883315,0.002361789,0.004347826,0.017591068,0.01699426,13.16666667,10.26548673
IRGC 37272,Control,55,613,5.5,53,0.019090352,0.003883315,0.002343091,0.003177258,0.022775998,0.0233512,10,11.56603774
IRGC 37951,Control,105,1083,8,62,0.019009293,0.164251208,0.003562766,0.010070606,0.017113878,0.0166953,13.125,17.46774194
IRGC 27522,Control,84,915,7,51.5,0.018858755,0.187476774,0.004684743,0.007748049,0.015578048,0.0146955,12,17.76699029
IRGC 37685,Control,69,790,4.5,69,0.018858755,0.122445188,0.00547205,0.005890004,0.015607722,0.01482478,15.33333333,11.44927536
IRGC 8482,Control,170,1521,12,54.5,0.01878979,0.003418803,0.005202882,0.009373839,0.017822846,0.01680236,14.16666667,27.90825688
IRGC 8482,Control,105,756,10,50,0.01878979,0.002489,0.003490593,0.094574508,0.018917576,0.01860218,10.5,15.12
IRGC 29146,Control,23,133,4,20,0.018575755,0.145670754,0.004002816,0.005657748,,,5.75,6.65
IRGC 34709,Control,118,1000,10,55.5,0.018575755,0.048123374,0.006100756,0.000854701,0.019682684,0.0189779,11.8,18.01801802
IRGC 25845,Control,99,773,8.5,47.5,0.018452092,0.002954292,0.002490106,0.002132107,,,11.64705882,16.27368421
IRGC 27555,Control,97,800,9,45,0.018355644,0.187476774,0.005742124,0.005193237,,,10.77777778,17.77777778
IRGC 77284,Control,91,622,4,53.5,0.018355644,0.164251208,0.004857838,0.011928651,,,22.75,11.62616822
IRGC 31655,Control,84,760,8,55.5,0.018355644,0.145670754,0.004730691,0.010999628,0.011577672,0.01100092,10.5,13.69369369
IRGC 31611,Control,120,1085,8.5,48.5,0.018319425,0.000780379,0.004493623,0.009606094,,,14.11764706,22.37113402
IRGC 38344,Control,66,838,6.5,56,0.018302269,0.003883315,0.002181117,0.004338536,0.019632158,0.0185335,10.15384615,14.96428571
IRGC 53541,Control,131,1310,10,57.5,0.018179555,0.003418803,0.002696648,0.154960981,0.022613192,0.02295932,13.1,22.7826087
IRGC 37161,Control,143,1050,8.5,60,0.018035483,0.182831661,0.002828714,0.003874025,0.014084724,0.01329362,16.82352941,17.5
IRGC 38149,Control,130,1095,5.5,71,0.018035483,0.080639168,0.003828535,0.010070606,0.014381464,0.01372186,23.63636364,15.42253521
IRGC 34699,Control,134,891,8,53,0.017915422,0.002954292,0.004293125,0.010302861,0.020151052,0.01964046,16.75,16.81132075
IRGC 31618,Control,152,857,11.5,55.5,0.017853192,0.122445188,0.008127175,0.089929394,0.018017732,0.01692356,13.2173913,15.44144144
IRGC 77293,Control,59,568,5,38,0.017726755,0.187476774,0.007148945,0.006819026,0.020638668,0.02082822,11.8,14.94736842
IRGC 43915,Control,55,626,5.5,36.75,0.017673415,0.057413601,0.007489371,0.020252694,0.020778216,0.02100598,10,17.03401361
IRGC 53500,Control,105,923,9.25,51,0.017651289,0.002954292,0.003914344,0.00821256,,,11.35135135,18.09803922
IRGC 37754,Control,125,1056,8.5,66,0.017585256,0.012393162,0.003580257,0.009141583,0.019415618,0.01897386,14.70588235,16
IRGC 26744,Control,125,956,6.5,59,0.017585256,0.000780379,0.004799252,0.010302861,0.017537334,0.01667914,19.23076923,16.20338983
IRGC 26802,Control,64,484,8,36,0.017538583,0.206057228,0.004270473,0.006586771,0.016004712,0.0151399,8,13.44444444
IRGC 29031,Control,110,885,7,57.2,0.017433713,0.131735414,0.004942513,0.010535117,0.016650322,0.01575802,15.71428571,15.47202797
